make,model,trim,mileage,price,year,month
BMW,5 Series,528i,47208,23700,2016,july
Ford,Focus,SE,37177,13100,2018,july
Cadillac,SRX,Luxury Collection,41502,24000,2016,july
Nissan,Pathfinder,SV,19769,23200,2018,july
Land Rover,Discovery Sport,HSE LUX,41475,28500,2016,july
Toyota,Camry,SE,31288,16100,2016,july
BMW,5 Series,535d,43535,28400,2016,july
Honda,Accord,Sport SE,9367,22600,2017,july
Ford,Explorer,Limited,38573,28800,2018,july
Porsche,Cayenne,Turbo,49891,61800,2016,july
Mercedes-Ben...,CLA,CLA 250,33185,21700,2016,july
Dodge,Challenger,SXT,20914,21900,2018,july
Jeep,Cherokee,Limited,22289,22800,2017,july
Volkswagen,Tiguan,2.0T SE,25735,22100,2018,july
Chevrolet,Impala,LT,53833,16800,2016,july
Cadillac,SRX,Luxury Collection,44477,25300,2016,july
Mazda,CX-5,Grand Touring,30257,21500,2016,july
Audi,Q7,3.0T Premium,43336,40300,2017,july
INFINITI,QX50,QX50,49185,21600,2016,july
Chevrolet,Camaro,SS,4098,36800,2016,july
GMC,Terrain,SLE-1,29570,17000,2017,july
Honda,Civic,LX,30232,16400,2016,july
Cadillac,SRX,Luxury Collection,32463,23600,2015,july
Mitsubishi,Outlander,ES,15710,18800,2018,july
Honda,Accord,EX-L,35448,19100,2016,july
Honda,CR-V,EX,23665,21400,2016,july
Ford,C-MAX Hybrid,SE,31228,13600,2016,july
Dodge,Charger,SRT8,25471,31100,2012,july
MINI,Hardtop 2 Door,John Cooper Works,12054,25500,2016,july
Volkswagen,Tiguan,2.0T SE 4Motion,40511,16800,2016,july
Chrysler,200,200C,64781,13100,2015,july
Audi,A4,Premium,12651,27300,2017,july
Dodge,Grand Caravan Pas...,GT,49497,17100,2017,july
Ford,Focus,Titanium,16202,16300,2018,july
Chevrolet,Traverse,LT,32924,23700,2017,july
Chevrolet,Impala,LT,22712,20600,2018,july
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,30353,29900,2016,july
Dodge,Charger,SXT,9122,24500,2018,july
Chevrolet,Spark EV,1LT,17336,10900,2016,july
INFINITI,QX60,3.5,29842,28300,2018,july
Honda,Accord,EX-L,33362,20700,2016,july
Volkswagen,Tiguan,2.0T S 4Motion,20005,16100,2016,july
Ford,Expedition,Limited,40378,46400,2018,july
Volkswagen,Golf GTI,S Hatchback,30985,18200,2015,july
Nissan,Sentra,SV,24476,13900,2016,july
Toyota,Tundra CrewMax,SR5 5 1/2 ft,40532,32000,2015,july
Kia,Sedona,LX,22945,22600,2018,july
Hyundai,Azera,Limited,8974,22300,2016,july
Acura,TLX,3.5,44218,19700,2016,july
Acura,RDX,RDX,32488,29000,2017,july
GMC,Sierra 1500 Crew ...,SLT 5 3/4 ft,33600,31000,2014,july
Hyundai,Sonata,Sonata,47931,13600,2017,july
Hyundai,Genesis Coupe,3.8,21686,23000,2016,july
Mitsubishi,Outlander,GT,34642,20100,2016,july
BMW,3 Series,320i,12899,26600,2018,july
Ford,Edge,SEL,36692,24200,2016,july
Nissan,Maxima,SL,39514,20700,2016,july
Ford,Fusion,S,22307,14100,2016,july
Hyundai,Elantra,SE,28572,13200,2016,july
Honda,CR-V,LX,33249,18600,2016,july
Cadillac,XT5,Luxury,23747,32100,2018,july
Chevrolet,Trax,LS,23522,15000,2017,july
Dodge,Journey,GT,10611,21100,2017,july
Audi,A6,2.0T Premium,39511,23400,2015,july
Lincoln,MKX,Reserve,51947,26300,2017,july
BMW,3 Series,320i xDrive,9887,30900,2018,july
Ford,Fusion,SE Hybrid,34575,15800,2018,july
Chevrolet,Impala,LT,49637,17000,2017,july
Nissan,Altima,2.5 S,33061,14000,2015,july
Subaru,Forester,2.5i Premium,41801,20400,2017,july
Hyundai,Accent,SE,36769,12200,2017,july
Honda,Accord,LX,27569,17900,2017,july
Dodge,Journey,SE,9653,18100,2018,july
Dodge,Journey,GT,11282,20100,2017,july
Volvo,S60,T5 Inscription,16652,26500,2018,july
Audi,A6,2.0T Premium Plus,23832,24800,2015,july
Honda,CR-V,LX,20293,18400,2016,july
Dodge,Charger,SXT,29225,23300,2016,july
Cadillac,ATS,2.0L Turbo Performance,43490,22700,2016,july
Audi,allroad,Premium,29272,25000,2015,july
Audi,A4,Premium Plus,40514,19600,2015,july
MINI,Countryman,Cooper S ALL4,38274,21000,2016,july
Dodge,Journey,R/T,13973,19500,2016,july
Jeep,Patriot,Latitude,19601,17400,2016,july
Hyundai,Sonata Hybrid,Limited,64406,16100,2016,july
Chrysler,Town & Country,Touring-L,33042,23500,2016,july
BMW,3 Series,328i,37704,22000,2016,july
Chevrolet,Impala,LT,44593,18600,2018,july
Nissan,Sentra,SV,8585,14900,2017,july
Toyota,Camry,LE,41236,14100,2014,july
Jeep,Grand Cherokee,Overland,30157,32300,2016,july
Nissan,Armada,Platinum,13728,45700,2018,july
Ford,Explorer,Limited,40032,28800,2018,july
Chevrolet,Impala,LT,40198,17200,2017,july
Audi,Q5,3.0T Premium Plus,39297,28000,2016,july
Nissan,Rogue,SV,17048,18200,2016,july
INFINITI,Q70,3.7,69170,20300,2015,july
Chevrolet,Traverse,LT,25048,22700,2017,july
Ford,Fiesta,SE,35938,12300,2018,july
Nissan,Murano,Platinum,55404,20600,2015,july
BMW,5 Series,530i,12592,35500,2017,july
Kia,Forte,LX,20574,13700,2018,july
Jeep,Grand Cherokee,Laredo,40162,21200,2016,july
Hyundai,Accent,SE,38339,11900,2017,july
Hyundai,Accent,SE,39008,11800,2017,july
Audi,Q5,3.0T Premium Plus,28487,29200,2016,july
Jeep,Grand Cherokee,Laredo,21753,29200,2017,july
Audi,A6,2.0T Premium Plus,38779,24500,2016,july
Audi,A4,Premium,26279,21300,2016,july
BMW,5 Series,535i xDrive,34605,27300,2016,july
Audi,Q5,2.0T Premium,31091,23700,2016,july
Honda,Civic,LX,19443,16100,2016,july
FIAT,124 Spider,Abarth,2768,24700,2017,july
BMW,X4,xDrive35i,45263,29200,2016,july
Chevrolet,Malibu,Premier,14127,22400,2018,july
INFINITI,Q50,3.7 Premium,42673,20000,2015,july
Toyota,Corolla,LE,32275,14300,2016,july
Dodge,Journey,SXT,3387,22000,2018,july
Ford,Edge,Titanium,19332,25900,2018,july
INFINITI,Q50,S 3.7,37947,23100,2015,july
Nissan,Pathfinder,SV,45213,20500,2016,july
Kia,Sorento,LX,39285,16600,2016,july
Mercedes-Ben...,CLA,CLA 250,25942,24100,2017,july
INFINITI,Q50,3.7 Premium,37455,20500,2015,july
Ford,Fusion,SE Hybrid,35609,15700,2018,july
Ford,Focus,Titanium,19741,16300,2018,july
Chevrolet,Cruze,LT,14824,15400,2017,july
GMC,Acadia,SLE-2,48335,18500,2013,july
Ford,Escape,SEL,17532,20700,2018,july
Cadillac,XTS,Luxury,33090,24200,2018,july
Toyota,Highlander,LE Plus,74961,21700,2015,july
Toyota,Corolla,SE,27271,15500,2017,july
Toyota,Camry,LE,31395,16000,2016,july
Nissan,Rogue,SV,44902,16400,2016,july
Toyota,Tacoma Double Cab,TRD Pro 5 ft,5485,44900,2018,july
Nissan,TITAN XD King Cab,SV 6 1/2 ft,2502,31200,2018,july
Ford,Edge,Titanium,17901,27400,2018,july
Buick,Regal,Premium II,14414,18200,2016,july
BMW,5 Series,535i xDrive,44814,27700,2016,july
Jeep,Cherokee,Latitude,38466,18400,2016,july
Cadillac,Escalade ESV,Escalade ESV,37334,53700,2017,july
Chevrolet,Camaro,SS,5414,39200,2018,july
Subaru,Outback,2.5i Limited,24581,25800,2017,july
Honda,Accord,EX-L,4542,27700,2018,july
Nissan,Altima,2.5 SL,36402,16300,2018,july
Mitsubishi,Outlander Sport,SEL,40218,17100,2018,july
Nissan,Maxima,SV,35093,20200,2018,july
Volkswagen,Tiguan Limited,2.0T,24955,16000,2017,july
Ford,Edge,SEL,43424,21000,2018,july
Honda,Accord,EX-L,10004,25500,2018,july
GMC,Acadia,SLT-1,65347,19900,2015,july
Mercedes-Ben...,C-Class,C 300 4MATIC,17827,28900,2017,july
Chevrolet,Camaro,SS,22049,28000,2015,july
Nissan,Altima,2.5 SL,35995,15800,2018,july
Dodge,Journey,Crossroad,17008,19100,2018,july
Acura,MDX,MDX,31666,38500,2017,july
Nissan,Altima,2.5 SR,24477,17800,2018,july
Chevrolet,Silverado 1500 Do...,Z71 LT 6 1/2 ft,20286,31800,2017,july
Lexus,IS,IS 300,13880,30300,2018,july
Chevrolet,Equinox,LT,12983,20000,2017,july
INFINITI,Q50,3.0t LUXE,31017,23400,2018,july
Dodge,Challenger,R/T,12558,27000,2016,july
Chrysler,300,300 Limited,28578,20000,2018,july
Honda,Civic,Sport,4083,22600,2018,july
Mercedes-Ben...,GLS,GLS 450 4MATIC,35393,49100,2018,july
Mercedes-Ben...,GLS,GLS 450,45802,41100,2017,july
Volkswagen,Golf,S Hatchback,28810,15300,2015,july
Honda,CR-V,SE,22326,18500,2016,july
Audi,A6,2.0T Premium,25533,22500,2015,july
Honda,Civic,LX,11985,18900,2018,july
Ford,Focus,SE,18427,14500,2018,july
Buick,Cascada,Premium,38287,20500,2016,july
Chevrolet,Malibu,LS,10440,17500,2016,july
Hyundai,Elantra,Limited,34167,15900,2017,july
Nissan,Sentra,SR,33385,14300,2016,july
Nissan,Armada,Platinum,12085,46400,2018,july
Nissan,Altima,2.5 SV,17832,16900,2017,july
Mercedes-Ben...,E-Class,E 400,11965,50100,2018,july
Toyota,Corolla,LE,11130,16200,2018,july
Volkswagen,Tiguan,2.0T S 4Motion,35345,15400,2016,july
Lexus,IS,IS 250,31202,21500,2014,july
Mercedes-Ben...,GLC,GLC 300 4MATIC,22351,36100,2018,july
Dodge,Challenger,R/T,2034,31500,2018,july
Audi,A5,Premium,32593,25000,2016,july
Toyota,Sienna,LE,66518,19800,2016,july
Mazda,CX-5,Grand Touring,52543,19200,2016,july
Ford,Explorer,Limited,32418,28900,2018,july
Dodge,Journey,SXT,11085,18100,2018,july
Mitsubishi,Outlander,ES,25538,16700,2018,july
Hyundai,Accent,SE,40594,11800,2017,july
Toyota,RAV4,LE,34146,18900,2018,july
Honda,CR-V,LX,24547,18400,2016,july
Nissan,Pathfinder,SV,35829,22600,2018,july
Audi,A6,2.0T Premium,29346,28500,2017,july
Cadillac,XTS,Luxury,49533,20800,2017,july
BMW,5 Series,535i,26726,28900,2016,july
Mercedes-Ben...,GLA,GLA 250 4MATIC,16103,25900,2016,july
Nissan,Rogue,SL,34018,19700,2016,july
Nissan,Altima,2.5,34490,14200,2016,july
Kia,Optima,SX Turbo,25470,20200,2016,july
Audi,Q7,2.0T Premium Plus,29217,42800,2018,july
Honda,Accord,LX,8740,22400,2018,july
Chevrolet,Impala,LT,35346,18000,2017,july
Audi,S6,Premium Plus,21716,45600,2016,july
Audi,S5,S5,45619,38600,2017,july
Nissan,Murano,SV,19584,23300,2018,july
Mitsubishi,Outlander,ES,23705,16800,2018,july
Ford,Escape,SE,51763,15400,2016,july
Honda,Accord,Sport,15944,23400,2018,july
Toyota,RAV4,XLE,31076,20700,2016,july
Toyota,RAV4,XLE,21051,21500,2016,july
Chevrolet,Trax,LT,11928,17900,2018,july
Chevrolet,Camaro,SS,15878,34700,2017,july
Honda,Accord,EX-L,48408,18200,2016,july
Buick,Enclave,Premium,11712,37200,2018,july
Jeep,Grand Cherokee,Limited,30255,25500,2018,july
Hyundai,Elantra,SE,24560,14900,2017,july
Nissan,Pathfinder,SV,37172,22300,2018,july
Jeep,Renegade,Latitude,13699,20000,2018,july
MINI,Clubman,Cooper S,34034,21600,2017,july
Honda,Accord,EX-L,34591,18600,2016,july
Volkswagen,Golf Alltrack,TSI SE,9921,22200,2017,july
Subaru,Crosstrek,2.0i Premium,18033,23800,2018,july
Nissan,Maxima,Platinum,40336,23100,2016,july
Subaru,Forester,2.5i Premium,38027,20900,2017,july
Chevrolet,Suburban,Premier,37349,47000,2018,july
Jeep,Grand Cherokee,Laredo,12612,27400,2018,july
Acura,TSX,TSX,40898,17600,2013,july
Ram,1500 Crew Cab,Big Horn 5 1/2 ft,27503,30500,2017,july
Mazda,MAZDA3,Grand Touring,29902,16900,2015,july
Toyota,Camry Hybrid,XLE,70942,18000,2017,july
Ford,Explorer,Limited,31134,28100,2018,july
Ford,Mustang,EcoBoost Premium,14036,27600,2018,july
Chevrolet,Impala,LS,435,22200,2018,july
Honda,Accord,LX,26158,16600,2016,july
Dodge,Grand Caravan Pas...,GT,40119,17900,2018,july
Ram,2500 Regular Cab,Tradesman 8 ft,95,32600,2018,july
INFINITI,Q70,3.7 Luxe,13694,28400,2018,july
Honda,Civic,LX,35366,14300,2015,july
Mercedes-Ben...,CLA,CLA 250,27964,22600,2016,july
Chevrolet,Impala,LT,33263,18300,2018,july
Cadillac,XTS,Luxury,29184,25500,2018,july
Ford,Focus,Titanium,21254,15400,2018,july
Ford,Focus,S,2449,14800,2018,july
Ford,Explorer,Sport,35371,31500,2018,july
Ford,Mustang,EcoBoost,38202,21000,2018,july
Honda,Accord,Touring,13018,29900,2018,july
Honda,Civic,EX-T,34825,18100,2016,july
BMW,5 Series,528i,31526,24200,2016,july
BMW,X5,xDrive40e iPerformance,17717,45700,2017,july
Ram,1500 Crew Cab,Laramie 5 1/2 ft,30804,30100,2012,july
Hyundai,Elantra,SE,27452,13400,2017,july
Ford,Escape,SE,24508,17100,2018,july
BMW,3 Series,320i,28111,19800,2016,july
Nissan,Sentra,S,18336,14100,2018,july
Honda,Accord,EX-L,4561,27100,2018,july
Chevrolet,Camaro,LT,38768,20300,2016,july
Cadillac,SRX,Luxury Collection,17019,28200,2016,july
BMW,3 Series,320i xDrive,16065,29500,2018,july
Hyundai,Tucson,SEL,34038,17400,2018,july
Mercedes-Ben...,E-Class,E 350 4MATIC,49370,24300,2016,july
Toyota,Highlander,XLE,35189,29600,2016,july
Cadillac,SRX,Luxury Collection,36392,25700,2016,july
BMW,X3,xDrive28i,29989,26200,2016,july
Audi,A6,3.0T Premium Plus,37892,29700,2016,july
BMW,7 Series,750i,40003,48600,2017,july
Honda,Pilot,Touring,48297,28700,2016,july
GMC,Canyon Crew Cab,SLE 5 ft,41131,24400,2015,july
Dodge,Grand Caravan Pas...,SE,32010,17300,2018,july
Hyundai,Elantra GT,Elantra GT,20520,15100,2018,july
Audi,A4,Premium,13899,27300,2017,july
Kia,Optima,LX,20440,15000,2017,july
Kia,Sportage,EX,25723,20900,2017,july
BMW,5 Series,535i,28597,28400,2016,july
Chevrolet,Cruze,LS,8914,15900,2018,july
Hyundai,Sonata,SE,6543,16200,2017,july
Honda,Civic,EX,41472,17000,2016,july
Mitsubishi,Outlander,ES,21504,16900,2018,july
Jeep,Wrangler,Sport,37378,29300,2017,july
Toyota,Sienna,LE,58751,20900,2015,july
Volkswagen,Passat,1.8T SE,15265,16600,2016,july
Honda,Civic,LX,7052,17500,2016,july
Audi,A4,Premium,20795,24300,2017,july
Jeep,Wrangler,Sport,42744,25100,2016,july
Chevrolet,Colorado Crew Cab,LT 5 ft,39717,27300,2015,july
Ford,Mustang,EcoBoost,16191,22400,2017,july
Chevrolet,Silverado 1500 Do...,Z71 LT 6 1/2 ft,41330,28500,2016,july
Lexus,RX,RX 350,31501,34600,2016,july
Kia,Sportage,LX,13913,20100,2017,july
Nissan,Versa,SV,22488,12900,2018,july
Hyundai,Elantra,SE,5629,15300,2018,july
Chevrolet,Impala,LS,20558,17500,2017,july
BMW,3 Series,328i,29185,22400,2016,july
GMC,Acadia,SLE-1,30618,21800,2016,july
Chevrolet,Impala,LT,38007,17800,2018,july
Chevrolet,Impala,LT,41724,17300,2018,july
Honda,CR-V,LX,24899,17300,2016,july
Toyota,Camry,SE,43534,15600,2016,july
Jeep,Grand Cherokee,High Altitude,21524,34200,2018,july
Dodge,Charger,SXT,16504,22600,2016,july
Subaru,Outback,2.5i Limited,53416,20300,2015,july
Kia,Sorento,LX,40802,16100,2016,july
INFINITI,QX60,3.5,23070,29000,2018,july
Mitsubishi,Outlander,ES,15988,17800,2018,july
Buick,Encore,Leather,50792,16200,2016,july
Nissan,TITAN XD King Cab,SV 6 1/2 ft,9559,33000,2017,july
Volkswagen,Tiguan,2.0T SE,19050,22000,2018,july
INFINITI,Q50,3.7 Premium,38996,20800,2015,july
Mazda,MAZDA3,Touring,31638,16800,2016,july
Hyundai,Elantra,SEL,22184,14600,2018,july
GMC,Acadia,Denali,36481,30600,2017,july
Hyundai,Elantra,SEL,16815,15500,2018,july
Honda,Civic,Si,29610,22100,2018,july
Ford,Escape,Titanium,35763,19600,2016,july
Hyundai,Santa Fe Sport,Santa Fe Sport,53897,16700,2017,july
Ford,Mustang,EcoBoost,64728,17500,2015,july
Chevrolet,Impala,LT,39580,17600,2018,july
Toyota,Sienna,XLE,70976,23400,2015,july
Nissan,Sentra,S,20455,13300,2016,july
Chevrolet,Cruze,LT,16581,14500,2017,july
Audi,A6,2.0T Premium Plus,32500,25200,2016,july
Nissan,Altima,2.5 S,8185,16500,2016,july
Nissan,Maxima,SV,20353,24600,2018,july
Kia,Optima,LX,15976,15600,2016,july
Hyundai,Accent,SE,18857,13900,2018,july
Toyota,Corolla iM,Corolla iM,15844,17800,2018,july
Audi,A4,Premium,23247,21600,2016,july
Kia,Rio,S,15849,13600,2018,july
Audi,Q7,3.0T Premium Plus,44547,40100,2017,july
Toyota,Sienna,XLE,29799,27500,2016,july
Chevrolet,Spark EV,1LT,25812,10200,2015,july
Chevrolet,Impala,LT,34224,19200,2018,july
Cadillac,ATS,ATS,14129,22600,2017,july
Chevrolet,Traverse,LS,25027,23500,2017,july
Chevrolet,Impala,LT,35680,19100,2018,july
Audi,A6,2.0T Premium Plus,20259,26400,2016,july
Dodge,Grand Caravan Pas...,SXT,42665,17100,2018,july
Honda,Civic,LX,20818,16600,2016,july
INFINITI,QX60,3.5,23357,28900,2018,july
Dodge,Challenger,R/T Classic,33715,22200,2013,july
Mercedes-Ben...,E-Class,E 300 4MATIC,41125,34900,2017,july
Ford,Escape,SE,28237,16900,2017,july
Chevrolet,Impala,LT,35888,18700,2018,july
Volkswagen,Jetta,1.4T S,25615,14500,2017,july
Chevrolet,Impala,LT,37322,17900,2018,july
Audi,A6,2.0T Premium Plus,33287,26400,2016,july
Buick,Enclave,Essence,20218,31800,2018,july
Nissan,Maxima,Platinum,26216,23600,2016,july
Nissan,Altima,2.5 S,33708,15200,2016,july
Dodge,Grand Caravan Pas...,SE,44441,16300,2018,july
Chevrolet,Equinox,LT,22697,17500,2017,july
Mercedes-Ben...,C-Class,C 300,22153,28300,2018,july
Ford,F250 Super Duty C...,XLT 6 3/4 ft,22780,44600,2018,july
Toyota,Corolla,LE,31562,14400,2017,july
Kia,K900,Luxury,16977,26500,2016,july
Lexus,RX,RX 350,22708,31300,2016,july
BMW,3 Series,328d xDrive Sport,1482,43200,2018,july
Toyota,Sienna,XLE,76718,23100,2017,july
Nissan,Frontier Crew Cab,SV 5 ft,18153,25200,2016,july
Hyundai,Elantra,SE,22929,14100,2017,july
Nissan,Maxima,SV,34231,19700,2018,july
Audi,A6,2.0T Premium Plus,31060,25700,2016,july
Nissan,Maxima,SV,34103,20400,2018,july
Dodge,Journey,GT,20682,18700,2017,july
Ford,Escape,Titanium,61938,17200,2017,july
Toyota,Corolla,LE,10800,15400,2017,july
Lincoln,MKC,Reserve,17206,27000,2016,july
Jeep,Cherokee,Limited,37674,19700,2018,july
BMW,M3,M3,9019,61500,2018,july
Honda,Accord,EX-L,14510,23600,2017,july
Ford,Explorer,Limited,24443,31000,2018,july
Audi,A4,Premium,35062,20000,2016,july
Hyundai,Elantra,SE,33169,13500,2017,july
Kia,Sportage,LX,30494,17300,2017,july
Nissan,Sentra,SV,18474,13800,2016,july
Audi,Q5,2.0T Premium,32583,23800,2015,july
Lexus,RX,RX 350,22141,34000,2016,july
Audi,A4,Premium,23991,20900,2016,july
Subaru,Outback,3.6R Limited,78895,20500,2015,july
Honda,Civic,LX,29688,16000,2016,july
Ford,Fusion,SE,19256,16200,2016,july
Nissan,Maxima,SV,36101,19300,2017,july
Lexus,RX,RX 350,23342,33700,2016,july
Mercedes-Ben...,CLS,CLS 550 4MATIC,21962,52100,2017,july
Chevrolet,Suburban,Premier,38303,45400,2018,july
Chevrolet,Cruze,LT,12386,14800,2017,july
GMC,Acadia,SLE-1,49321,19300,2015,july
Honda,Civic,LX,13528,16400,2016,july
Mazda,CX-5,Grand Touring,16676,22800,2016,july
Dodge,Grand Caravan Pas...,AVP,71387,13300,2016,july
Nissan,LEAF,SV,48974,13000,2015,july
Mazda,MX-5 Miata,Club,4748,23600,2016,july
Audi,A6,3.0T Premium Plus,41916,30800,2016,july
Mercedes-Ben...,C-Class,C 300 4MATIC,40203,22200,2016,july
Nissan,Altima,2.5 S,19809,14700,2016,july
Toyota,Camry,LE,38171,18600,2018,july
Mazda,CX-5,Touring,39166,18000,2016,july
Honda,Civic,Si,11606,24200,2018,july
Chevrolet,Cruze,LT,13818,14600,2017,july
Nissan,Altima,2.5 S,11512,15900,2016,july
Audi,Q3,Premium,22182,26300,2018,july
Nissan,Altima,2.5 S,19308,15900,2016,july
Nissan,Altima,2.5 SL,40197,15700,2016,july
INFINITI,QX50,QX50,40329,22900,2016,july
Hyundai,Sonata,SE,20427,15800,2016,july
Genesis,G80,3.8,27194,28800,2017,july
Hyundai,Elantra GT,Elantra GT,18672,15100,2018,july
Subaru,Impreza,2.0i Premium,5214,20800,2017,july
MINI,Hardtop 2 Door,Cooper,19895,17200,2016,july
Audi,A6,3.0T Premium Plus,23612,31000,2016,july
Volkswagen,Touareg,TDI Sport,10739,37900,2016,july
Ford,Edge,SE,71428,17800,2015,july
Kia,Optima,LX,31466,14200,2016,july
Audi,A5,Premium Plus,43933,30700,2016,july
Kia,Sedona,LX,54678,17900,2016,july
Volkswagen,Tiguan,2.0T Sport 4Motion,49525,18100,2017,july
Audi,Q5,2.0T Premium,44505,25400,2017,july
Volkswagen,Jetta,1.4T S,6845,16100,2018,july
Ford,Fusion,SE Hybrid,36828,15100,2018,july
Chevrolet,Equinox,LT,16486,21800,2018,july
Honda,Accord,EX-L,40765,19200,2016,july
Hyundai,Elantra,SEL,21653,15100,2018,july
Honda,Accord,Sport,25476,17900,2016,july
Chevrolet,Equinox,Premier,22142,22600,2018,july
Kia,Forte,LX,18273,12900,2017,july
Toyota,Camry,LE,15557,16800,2016,july
Chevrolet,Suburban,Premier,45689,44700,2018,july
Honda,HR-V,EX,61521,17700,2016,july
Volkswagen,Tiguan,2.0T S 4Motion,9656,17100,2016,july
Acura,ILX,ILX,39879,17400,2016,july
Hyundai,Sonata,SE,13987,14700,2016,july
Kia,Sedona,SX,24662,22100,2015,july
Mercedes-Ben...,E-Class,E 350,56828,21200,2014,july
Nissan,Murano,SV,30639,21300,2018,july
Dodge,Challenger,SXT,25217,20700,2018,july
Chevrolet,Camaro,LT,32042,19300,2014,july
Toyota,Avalon,XLE,34575,20000,2018,july
Volkswagen,Tiguan,2.0T SE,32706,20600,2018,july
Toyota,Highlander,XLE,43019,28000,2016,july
Toyota,RAV4,Limited,71665,17000,2013,july
Toyota,Avalon,XLE,33233,19700,2018,july
Nissan,Sentra,SV,7721,15600,2018,july
Volkswagen,Tiguan,2.0T S 4Motion,40818,16400,2017,july
Kia,Sportage,LX,21114,16800,2018,july
Dodge,Grand Caravan Pas...,SE,40424,16600,2018,july
Kia,Sedona,LX,17105,24100,2018,july
Chevrolet,Cruze,LT,18885,14400,2017,july
Ford,Mustang,GT,1897,28900,2015,july
Honda,Accord,LX,7885,20700,2018,july
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,7103,34000,2015,july
Lexus,GS,GS 350,29226,31300,2016,july
Chevrolet,Cruze,LT,40286,13300,2016,july
Mercedes-Ben...,GLA,GLA 250,9862,30100,2018,july
Lexus,RX,RX 350,26244,32000,2016,july
Ford,Fusion,SE,19344,16900,2018,july
Jeep,Patriot,High Altitude Edition,20092,18800,2017,july
Buick,LaCrosse,Premium,28906,22600,2017,july
Nissan,Maxima,SV,44497,20900,2018,july
Ford,Fusion,SE,14868,16600,2018,july
Honda,CR-V,EX,3347,27900,2018,july
Chevrolet,Traverse,LT,16613,29700,2018,july
Cadillac,SRX,Luxury Collection,44319,24400,2016,july
Mazda,CX-5,Touring,29074,18700,2016,july
Cadillac,XT5,XT5,12369,28900,2018,july
Acura,RDX,RDX,21849,24800,2016,july
Dodge,Challenger,SRT Hellcat,12464,59900,2018,july
Nissan,Pathfinder,Platinum,60881,23400,2016,july
Ford,Fusion Energi,Plug-In Hybrid SE Luxury,43602,15500,2016,july
INFINITI,QX50,QX50,39133,23200,2016,july
Lincoln,MKC,Select,6669,29000,2018,july
Toyota,RAV4,SE,31589,23100,2016,july
Toyota,Camry,SE,34920,16700,2016,july
Kia,Sorento,EX,48956,18200,2015,july
Toyota,RAV4,XLE,18063,21800,2018,july
Toyota,Tundra Double Cab,Limited 6 1/2 ft,10506,39700,2018,july
Hyundai,Sonata,Sport,13832,17100,2016,july
Hyundai,Sonata,Sonata,73000,13900,2016,july
Chevrolet,Cruze,LT,22357,14500,2017,july
Nissan,Sentra,S,25605,14300,2018,july
Hyundai,Santa Fe,SE,33061,24200,2016,july
Dodge,Grand Caravan Pas...,SE,29947,16700,2016,july
Mitsubishi,Outlander Sport,SE,26270,15900,2018,july
Chevrolet,Spark EV,1LT,30023,10800,2016,july
Dodge,Journey,GT,17620,20100,2018,july
Nissan,Sentra,SL,10611,17800,2018,july
Chevrolet,Malibu Limited,LT,42740,14600,2016,july
Hyundai,Sonata,Sport,21033,22800,2018,july
Nissan,Frontier Crew Cab,SV 5 ft,13835,23600,2018,july
Ford,Focus,SE,33321,13100,2018,july
Jeep,Cherokee,Limited,41199,20200,2016,july
Mazda,MX-5 Miata RF,Grand Touring,16230,25800,2018,july
Kia,Sorento,EX,46306,18800,2017,july
Nissan,Altima,2.5 SL,35673,16600,2016,july
GMC,Terrain,SLT,31092,19300,2017,july
Chevrolet,Cruze,LT,29853,14100,2016,july
Lexus,ES,ES 350,9198,32000,2017,july
Lexus,RX,RX 350,34964,32100,2016,july
Lexus,RX,RX 350,30945,34300,2016,july
Chrysler,Pacifica,Touring L,41732,23400,2018,july
BMW,3 Series,328i,42044,20300,2016,july
FIAT,500e,500e,25664,11000,2016,july
Mazda,CX-3,Grand Touring,6698,21900,2016,july
Chevrolet,Sonic,LT,8068,14800,2018,july
Hyundai,Elantra,SE,25371,13900,2017,july
Chrysler,Town & Country,Touring-L,44577,22500,2016,july
Hyundai,Tucson,SEL,30581,18200,2018,july
Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,17754,29700,2016,july
INFINITI,Q50,3.0t LUXE,28191,24200,2018,july
Kia,Sorento,Limited-SXL,50100,22900,2016,july
Mercedes-Ben...,CLS-Class,CLS 550,20724,43400,2016,july
Nissan,Altima,2.5 S,22933,14500,2016,july
Kia,Sorento,EX,46935,18600,2016,july
Scion,iQ,iQ,29515,9400,2012,july
Nissan,LEAF,S,8566,23000,2018,july
Audi,Q7,2.0T Premium Plus,10215,51200,2018,july
Hyundai,Ioniq Hybrid,Limited,1993,25600,2018,july
Audi,A4,Premium Plus,22042,30300,2018,july
Jaguar,XE,XE 25t Prestige,21353,26700,2017,july
Ford,F150 SuperCrew Ca...,XL 5 1/2 ft,29085,27400,2014,july
Dodge,Journey,GT,21499,18700,2017,july
Toyota,Camry,LE,22107,16600,2016,july
Nissan,Sentra,SV,19727,14200,2017,july
Nissan,Altima,2.5 SL,38407,16500,2018,july
Hyundai,Tucson,SEL,21684,17400,2018,july
Lincoln,MKC,MKC,32967,20800,2015,july
Toyota,Camry,SE,27394,16800,2016,july
Hyundai,Tucson,SEL,25160,18300,2018,july
