,Make,Model,trim,Mileage,Price
0,2018 Toyota,RAV4,XLE,"7,459 miles","26,000"
0,2016 Cadillac,SRX,Luxury Collection,"47,911 miles","27,300"
0,2013 Honda,CR-V,EX-L,"51,903 miles","19,700"
0,2016 Kia,Sorento,EX,"38,409 miles","20,800"
0,2017 Honda,CR-V,LX,"21,544 miles","21,100"
0,2013 Toyota,RAV4,Limited,"42,633 miles","19,600"
0,2016 Jeep,Patriot,High Altitude Edition,"34,340 miles","18,400"
0,2017 Ford,Fusion Energi,Plug-In Hybrid SE Luxury,"32,574 miles","18,700"
0,2017 Toyota,Sienna,XLE,"55,501 miles","27,500"
0,2017 Ford,F150 Super Cab,XLT 8 ft,"13,465 miles","28,000"
0,2016 Mercedes-Ben...,C-Class,C 300 4MATIC,"45,765 miles","25,100"
0,2014 Honda,CR-V,EX-L,"30,002 miles","20,700"
0,2016 Jeep,Compass,High Altitude Edition,"24,318 miles","17,300"
0,2018 Honda,Accord,EX-L,"21,981 miles","26,700"
0,2017 Toyota,Sienna,LE,"42,986 miles","23,600"
0,2016 Cadillac,SRX,Performance Collection,"50,703 miles","25,600"
0,2016 Nissan,Altima,2.5,"24,322 miles","17,000"
0,2016 Toyota,Sienna,LE,"65,646 miles","21,900"
0,2016 Hyundai,Sonata,Sonata,"23,581 miles","15,600"
0,2016 Jeep,Compass,Latitude,"47,601 miles","16,000"
0,2016 Honda,CR-V,EX,"33,542 miles","21,100"
0,2013 Honda,CR-V,LX,"94,005 miles","14,900"
0,2018 Honda,Civic,EX,"8,002 miles","23,500"
0,2015 Toyota,Tacoma Double Cab,PreRunner 5 ft,"48,442 miles","25,800"
0,2015 Jeep,Wrangler,Unlimited Sport S,"28,755 miles","28,800"
0,2015 Hyundai,Genesis,3.8,"68,814 miles","20,300"
0,2016 Chevrolet,Traverse,LS,"28,685 miles","23,500"
0,2016 Toyota,Highlander,LE,"30,548 miles","27,300"
0,2018 Honda,Civic,Sport,"3,519 miles","21,900"
0,2012 Honda,CR-V,EX-L,"86,816 miles","15,600"
0,2016 Ford,F150 Super Cab,XL 6 1/2 ft,"41,473 miles","27,300"
0,2016 Jeep,Renegade,Latitude,"31,552 miles","18,500"
0,2016 Toyota,RAV4,XLE,"35,934 miles","20,800"
0,2018 Dodge,Grand Caravan Pas...,SXT,"37,469 miles","19,700"
0,2017 Subaru,Outback,2.5i Limited,"43,442 miles","24,600"
0,2013 Honda,Accord,Sport,"101,422 miles","16,400"
0,2014 Jeep,Wrangler,Unlimited Sport,"72,396 miles","26,800"
0,2018 BMW,3 Series,320i xDrive,"25,208 miles","28,800"
0,2016 Chevrolet,Cruze,LT,"26,013 miles","15,100"
0,2017 Ram,1500 Crew Cab,Tradesman 5 1/2 ft,"5,417 miles","27,000"
0,2015 Kia,Optima,EX,"35,369 miles","15,900"
0,2017 Acura,RDX,RDX,"44,921 miles","27,000"
0,2016 Jeep,Renegade,Latitude,"44,934 miles","17,000"
0,2013 Toyota,Tacoma Double Cab,5 ft,"46,438 miles","27,900"
0,2015 Honda,CR-V,LX,"41,931 miles","17,200"
0,2013 Ford,F150 SuperCrew Ca...,King Ranch 5 1/2 ft,"103,234 miles","24,200"
0,2018 Ford,Fusion,Titanium Hybrid,"26,820 miles","20,400"
0,2016 Honda,Accord,EX,"36,027 miles","18,200"
0,2016 Honda,Accord,Sport,"28,827 miles","19,200"
0,2015 Ford,Mustang,GT,"14,302 miles","27,000"
0,2016 Lexus,ES,ES 350,"31,307 miles","24,800"
0,2016 Ford,Edge,SE,"32,654 miles","21,500"
0,2016 GMC,Terrain,Denali,"14,499 miles","24,900"
0,2016 Honda,Odyssey,EX-L,"56,300 miles","24,000"
0,2017 Chevrolet,Camaro,LT,"20,010 miles","25,100"
0,2017 Ford,Fusion,SE,"35,712 miles","14,700"
0,2017 BMW,3 Series,330i xDrive,"26,775 miles","25,000"
0,2017 Kia,Sorento,LX,"35,109 miles","17,500"
0,2016 Toyota,RAV4,XLE,"16,896 miles","21,100"
0,2017 Hyundai,Sonata,Sonata,"42,176 miles","14,500"
0,2015 Kia,Forte5,EX,"26,319 miles","13,900"
0,2018 Mazda,CX-9,Touring,"36,378 miles","25,900"
0,2017 Ford,Mustang,V6,"9,488 miles","22,500"
0,2016 Buick,Encore,Encore,"33,059 miles","14,900"
0,2017 Nissan,Sentra,S,"13,828 miles","14,100"
0,2019 Nissan,Sentra,S,"1,390 miles","16,500"
0,2017 Jeep,Patriot,Latitude,"9,276 miles","20,000"
0,2017 Ford,Fiesta,SE,"46,811 miles","12,400"
0,2019 Jeep,Compass,Limited,"10,267 miles","24,400"
0,2017 Hyundai,Elantra,SE,"20,454 miles","14,500"
0,2018 Nissan,Maxima,SL,"1,482 miles","28,700"
0,2016 Volkswagen,Jetta,1.4T SE,"33,438 miles","14,700"
0,2017 Kia,Sorento,EX,"34,309 miles","24,400"
0,2016 Mazda,CX-5,Grand Touring,"28,385 miles","22,400"
0,2016 Mazda,CX-9,Touring,"20,940 miles","29,400"
0,2016 Mazda,CX-5,Sport,"35,469 miles","17,500"
0,2017 GMC,Acadia,SLT-1,"33,030 miles","29,200"
0,2016 Nissan,Altima,2.5 SL,"36,197 miles","17,700"
0,2019 Jeep,Compass,Limited,"13,232 miles","24,500"
0,2016 Hyundai,Sonata,SE,"23,418 miles","16,400"
0,2017 Jeep,Patriot,Latitude,"30,703 miles","18,100"
0,2017 Hyundai,Elantra,SE,"22,524 miles","14,400"
0,2017 Kia,Sorento,SX,"34,363 miles","27,500"
0,2018 Hyundai,Sonata,SEL,"7,417 miles","18,200"
0,2018 Nissan,Murano,SV,"46,449 miles","21,500"
0,2016 Honda,Accord,LX,"33,527 miles","17,300"
0,2016 Hyundai,Sonata,SE,"38,989 miles","15,100"
0,2016 Honda,Civic,LX,"29,906 miles","16,300"
0,2014 Chevrolet,Camaro,SS,"13,765 miles","29,000"
0,2017 Volkswagen,Tiguan,2.0T S,"30,062 miles","17,300"
0,2016 Jeep,Compass,Latitude,"32,523 miles","16,400"
0,2014 Ford,Flex,Limited,"75,142 miles","19,100"
0,2017 Buick,LaCrosse,Essence,"8,971 miles","23,700"
0,2018 Ford,Mustang,EcoBoost,"29,077 miles","21,600"
0,2016 Buick,Enclave,Premium,"47,079 miles","28,100"
0,2016 Buick,Encore,Encore,"10,789 miles","17,900"
0,2017 Ford,Escape,Titanium,"45,435 miles","19,600"
0,2015 Cadillac,SRX,Luxury Collection,"15,734 miles","27,100"
0,2016 Kia,Optima,SX Turbo,"9,625 miles","21,000"
0,2016 Subaru,Crosstrek,2.0i Premium,"31,985 miles","22,000"
0,2016 Kia,Optima,LX,"34,461 miles","14,800"
0,2017 Hyundai,Santa Fe Sport,Santa Fe Sport,"30,059 miles","19,200"
0,2016 Nissan,Murano,SV,"33,397 miles","22,400"
0,2016 GMC,Terrain,SLE-2,"31,974 miles","18,600"
0,2016 Kia,Optima,LX,"22,873 miles","15,000"
0,2014 Ford,Escape,Titanium,"53,750 miles","17,100"
0,2015 Jeep,Wrangler,Unlimited Sahara,"90,158 miles","28,100"
0,2017 Kia,Sorento,SX,"20,890 miles","29,300"
0,2018 Dodge,Grand Caravan Pas...,GT,"44,105 miles","21,000"
0,2018 Toyota,Corolla,LE,"31,498 miles","15,600"
0,2016 Jeep,Compass,Latitude,"42,219 miles","16,100"
0,2016 Chevrolet,Cruze,LT,"16,965 miles","14,900"
0,2017 Toyota,Corolla,SE,"42,091 miles","16,700"
0,2018 Toyota,Camry,LE,"20,651 miles","18,700"
0,2020 Kia,Soul,LX,48 miles,"18,400"
0,2017 Jeep,Patriot,Sport,"26,297 miles","17,400"
0,2016 Ford,Mustang,EcoBoost Premium,"7,656 miles","23,900"
0,2016 Cadillac,ATS,2.0L Turbo Luxury,"40,269 miles","21,500"
0,2015 MINI,Countryman,John Cooper Works ALL4,"34,399 miles","25,800"
0,2016 Cadillac,ATS,2.5L Standard,"21,372 miles","20,200"
0,2016 Buick,Encore,Encore,"22,426 miles","17,300"
0,2017 Kia,Sorento,LX,"35,370 miles","19,300"
0,2016 Nissan,Altima,2.5,"21,605 miles","16,200"
0,2016 Kia,Sorento,Limited-SXL,"31,460 miles","27,000"
0,2017 Jeep,Compass,All New Sport,"24,877 miles","17,600"
0,2019 Volkswagen,Jetta,1.4T SEL,"7,398 miles","23,800"
0,2016 Nissan,Pathfinder,SV,"62,115 miles","21,500"
0,2016 Kia,Sorento,EX,"38,161 miles","21,600"
0,2016 Nissan,Rogue,SV,"24,943 miles","17,500"
0,2017 Ford,Escape,SE,"42,177 miles","16,000"
0,2014 Toyota,RAV4,XLE,"36,289 miles","19,800"
0,2015 Kia,Optima,EX,"32,511 miles","16,300"
0,2016 Chevrolet,Silverado 1500 Do...,Z71 LT 6 1/2 ft,"22,728 miles","28,200"
0,2018 Toyota,Avalon,XLE,"32,349 miles","22,100"
0,2016 Honda,Fit,EX-L,"22,550 miles","18,200"
0,2016 Honda,CR-V,LX,"30,600 miles","18,400"
0,2012 Chevrolet,Suburban 1500,LTZ,"87,708 miles","26,300"
0,2018 Toyota,Avalon,XLE,"32,469 miles","22,100"
0,2016 Mercedes-Ben...,GLA,GLA 250 4MATIC,"18,109 miles","26,900"
0,2016 Buick,Encore,Encore,"18,516 miles","16,300"
0,2016 Jeep,Compass,High Altitude Edition,"22,533 miles","17,900"
0,2014 Honda,CR-V,LX,"50,948 miles","17,600"
0,2016 Chevrolet,Cruze,LT,"30,405 miles","14,400"
0,2017 GMC,Terrain,SLE-1,"17,719 miles","19,300"
0,2017 Chevrolet,Equinox,LS,"35,495 miles","17,400"
0,2017 Chevrolet,Equinox,LS,"21,723 miles","18,300"
0,2016 Buick,Encore,Encore,"30,636 miles","15,600"
0,2016 Mazda,CX-5,Grand Touring,"30,398 miles","23,100"
0,2016 Chevrolet,Cruze,LS,"25,669 miles","14,300"
0,2017 Ford,Escape,S,"41,142 miles","15,900"
0,2018 Nissan,Versa,SV,"23,165 miles","13,500"
0,2018 Nissan,Versa,SV,"23,176 miles","13,300"
0,2015 Chevrolet,Equinox,LS,"32,973 miles","15,300"
0,2018 Ford,Focus,SE,"16,634 miles","15,000"
0,2016 Hyundai,Sonata,Sonata,"8,901 miles","19,000"
0,2017 GMC,Terrain,SLE-1,"24,736 miles","17,500"
0,2017 Acura,RDX,RDX,"28,378 miles","26,500"
0,2016 Buick,Verano,Verano,"31,330 miles","15,200"
0,2016 Jeep,Cherokee,Latitude,"30,743 miles","19,500"
0,2017 Toyota,Corolla,LE,"17,044 miles","15,500"
0,2017 Hyundai,Elantra,SE,"47,962 miles","13,300"
0,2014 Lexus,IS,IS 250,"69,187 miles","22,000"
0,2016 Jeep,Cherokee,Latitude,"14,210 miles","20,100"
0,2017 Jeep,Compass,Latitude,"35,553 miles","16,800"
0,2016 Honda,Fit,EX,"20,084 miles","17,800"
0,2018 Honda,CR-V,LX,"4,597 miles","24,400"
0,2017 Hyundai,Elantra,SE,"15,435 miles","15,000"
0,2016 Toyota,Camry,SE,"44,447 miles","16,900"
0,2016 Hyundai,Elantra GT,Elantra GT,"13,190 miles","15,100"
0,2017 Nissan,Sentra,SV,"47,095 miles","13,400"
0,2016 Buick,Encore,Convenience,"38,835 miles","16,700"
0,2016 Toyota,RAV4,XLE,"27,419 miles","19,800"
0,2017 Toyota,Camry,SE,"43,732 miles","17,300"
0,2018 Honda,Civic,LX,"15,961 miles","19,000"
0,2017 Nissan,Sentra,SV,"47,477 miles","13,700"
0,2017 Honda,Civic,LX,"7,164 miles","19,000"
0,2016 Jeep,Cherokee,Altitude,"28,645 miles","20,900"
0,2016 Honda,CR-V,EX,"35,325 miles","20,700"
0,2016 Jeep,Cherokee,Altitude,"23,992 miles","19,200"
0,2016 Jeep,Cherokee,Altitude,"28,948 miles","18,800"
0,2016 Nissan,Altima,2.5 S,"41,415 miles","14,200"
0,2016 Ford,C-MAX Energi,SEL,"21,200 miles","15,600"
0,2015 Mercedes-Ben...,C-Class,C 300,"29,144 miles","22,700"
0,2016 Toyota,Camry,SE,"27,311 miles","17,700"
0,2016 Nissan,Altima,2.5 SV,"27,745 miles","16,100"
0,2016 Mercedes-Ben...,CLA,CLA 250 4MATIC,"32,992 miles","24,200"
0,2016 Mazda,CX-9,Touring,"35,607 miles","26,900"
0,2018 Honda,Accord,LX,772 miles,"24,500"
0,2014 MINI,Coupe,John Cooper Works,"21,897 miles","26,200"
0,2016 Volkswagen,Jetta,1.8T Sport,"46,350 miles","15,000"
0,2016 Nissan,Rogue,S,"34,283 miles","16,100"
0,2016 Jeep,Cherokee,Limited,"46,806 miles","17,500"
0,2016 Ford,Fusion,SE,"43,618 miles","14,400"
0,2018 Nissan,Rogue,SL,"39,323 miles","20,700"
0,2015 Ford,Edge,SE,"27,163 miles","18,500"
0,2016 Nissan,Altima,2.5 SL,"17,178 miles","18,400"
0,2017 Nissan,Versa,SV,"24,809 miles","14,100"
0,2017 Toyota,Corolla,LE,"7,607 miles","16,900"
0,2017 Nissan,Sentra,SV,"45,066 miles","13,400"
0,2019 Jeep,Compass,Limited,"12,371 miles","24,500"
0,2018 Mazda,CX-9,Touring,"31,811 miles","26,400"
0,2017 Nissan,Sentra,SR,"47,741 miles","13,800"
0,2017 MINI,Hardtop 4 Door,Cooper,"25,445 miles","19,900"
0,2016 Toyota,Corolla,LE,"37,335 miles","14,500"
0,2015 Nissan,Pathfinder,Platinum,"37,492 miles","24,700"
0,2016 Hyundai,Tucson,SE,"31,883 miles","17,000"
0,2017 Toyota,RAV4,LE,"23,422 miles","20,300"
0,2016 Kia,Optima,LX,"23,728 miles","15,100"
0,2016 Kia,Sorento,SX,"41,740 miles","24,900"
0,2017 Hyundai,Elantra,SE,"23,667 miles","14,500"
0,2016 Hyundai,Tucson,SE,"34,971 miles","17,500"
0,2017 Hyundai,Sonata,Sonata,"10,222 miles","16,000"
0,2015 Land Rover,Range Rover Evoqu...,Pure,"38,164 miles","27,300"
0,2018 Toyota,Camry,SE,"10,056 miles","23,200"
0,2017 Jeep,Wrangler Unlimite...,Sport,"16,731 miles","29,500"
0,2017 Lexus,CT,CT 200h,"29,890 miles","25,500"
0,2016 Jeep,Patriot,High Altitude Edition,"29,169 miles","18,600"
0,2016 Kia,Optima,LX,"17,259 miles","15,700"
0,2016 Scion,FR-S,FR-S,"23,260 miles","22,600"
0,2016 Honda,CR-V,EX,"29,029 miles","21,400"
0,2016 Toyota,Corolla,L,"28,187 miles","15,400"
0,2017 Chevrolet,Equinox,LS,"56,847 miles","15,900"
0,2015 Buick,Enclave,Premium,"39,938 miles","27,700"
0,2016 Honda,CR-V,EX-L,"29,664 miles","21,500"
0,2016 Honda,CR-V,EX-L,"48,513 miles","21,200"
0,2017 Volkswagen,Golf GTI,S Hatchback,"50,276 miles","19,300"
0,2016 Scion,iA,iA,"14,306 miles","14,100"
0,2016 Ford,Escape,Titanium,"58,400 miles","17,200"
0,2013 Dodge,Charger,SXT,"34,346 miles","18,500"
0,2015 Kia,Sorento,LX,"75,813 miles","18,200"
0,2017 Hyundai,Tucson,SE,"14,647 miles","18,300"
0,2017 Volkswagen,Passat,1.8T R-Line,"7,824 miles","19,500"
0,2016 Toyota,Camry,LE,"27,873 miles","17,900"
0,2017 Volkswagen,Jetta,1.4T SE,"13,184 miles","17,000"
0,2016 Acura,MDX,SH-AWD,"42,042 miles","29,400"
0,2018 Jeep,Renegade,Latitude,"14,714 miles","19,300"
0,2016 Mercedes-Ben...,C-Class,C 300 4MATIC,"12,655 miles","27,900"
0,2016 Toyota,Corolla,LE,"17,641 miles","16,100"
0,2017 Volkswagen,Tiguan,2.0T Wolfsburg Edition,"40,210 miles","19,400"
0,2017 Acura,RDX,RDX,"47,996 miles","26,800"
0,2016 Honda,CR-V,LX,"27,152 miles","18,500"
0,2016 Nissan,Pathfinder,SL,"51,611 miles","23,400"
0,2017 Nissan,Pathfinder,S,"43,085 miles","26,500"
0,2017 Jeep,Patriot,High Altitude Edition,"29,694 miles","18,400"
0,2017 Kia,Sorento,EX,"53,292 miles","22,900"
0,2016 Chevrolet,Malibu Limited,LS,"42,130 miles","13,900"
0,2018 Ford,Fusion,SE,"19,951 miles","16,400"
0,2015 Toyota,RAV4,Limited,"97,932 miles","16,900"
0,2016 Ford,Edge,SEL,"29,016 miles","21,200"
0,2014 Nissan,370Z,370Z,"15,059 miles","27,300"
0,2018 Kia,Optima,SX Turbo,"13,152 miles","24,600"
0,2015 Hyundai,Sonata,SE,"39,646 miles","15,300"
0,2018 Ford,Escape,Titanium,"21,346 miles","22,600"
0,2018 Dodge,Challenger,T/A,"19,589 miles","27,600"
0,2018 Nissan,Maxima,SV,"39,458 miles","20,600"
0,2016 Honda,CR-V,LX,"24,630 miles","19,200"
0,2016 Hyundai,Tucson,SE,"36,310 miles","16,500"
0,2017 BMW,X1,xDrive28i,"44,393 miles","27,700"
0,2012 Honda,CR-V,EX-L,"24,063 miles","20,200"
0,2016 Toyota,Camry,SE,"33,030 miles","17,100"
0,2016 GMC,Sierra 1500 Crew ...,SLE 5 3/4 ft,"37,953 miles","28,500"
0,2016 Toyota,RAV4,XLE,"33,305 miles","19,400"
0,2016 Jeep,Compass,Latitude,"20,472 miles","16,500"
0,2015 Chrysler,200,200S,"45,523 miles","14,900"
0,2015 Kia,Optima,LX,"10,150 miles","15,000"
0,2016 Subaru,Crosstrek,2.0i,"51,365 miles","20,300"
0,2016 INFINITI,QX60,3.5,"38,296 miles","27,400"
0,2017 Ford,Mustang,GT,"19,771 miles","28,100"
0,2018 Nissan,Maxima,S,"29,114 miles","21,500"
0,2017 Toyota,Corolla,LE,"3,981 miles","18,100"
0,2016 BMW,2 Series,228i,"29,348 miles","22,500"
0,2016 Cadillac,ATS,2.0L Turbo Luxury,"40,136 miles","21,900"
0,2017 Jeep,Compass,High Altitude Edition,"27,417 miles","17,700"
0,2016 Audi,Q5,2.0T Premium,"28,414 miles","25,400"
0,2016 Jeep,Compass,High Altitude Edition,"38,379 miles","16,900"
0,2016 Jeep,Compass,Sport,"26,607 miles","15,800"
0,2017 Ford,Fusion,SE,"16,951 miles","18,300"
0,2016 Jeep,Cherokee,75th Anniversary,"31,367 miles","20,000"
0,2016 Mazda,CX-5,Grand Touring,"38,843 miles","22,400"
0,2016 Toyota,Camry,SE,"22,458 miles","17,500"
0,2016 Honda,Civic,LX,"13,431 miles","17,700"
0,2016 Toyota,Tacoma Double Cab,SR5 5 ft,"24,387 miles","27,600"
0,2015 Honda,Fit,LX,"65,307 miles","13,200"
0,2015 Nissan,Altima,2.5 S,"34,509 miles","14,900"
0,2017 Ford,Mustang,EcoBoost Premium,"8,726 miles","22,700"
0,2018 Toyota,Corolla,LE,"33,376 miles","15,000"
0,2016 Nissan,Rogue,S,"11,654 miles","17,200"
0,2016 Hyundai,Tucson,SE,"11,260 miles","18,800"
0,2016 Honda,CR-V,EX,"41,456 miles","19,200"
0,2017 Chevrolet,Trax,LT,"28,318 miles","16,300"
0,2016 Hyundai,Genesis,3.8,"33,841 miles","21,900"
0,2018 Nissan,Versa,S Plus,"22,728 miles","13,500"
0,2018 Jeep,Compass,Latitude,"8,081 miles","20,300"
0,2017 Nissan,Sentra,SR Turbo,"19,622 miles","17,200"
0,2017 Jeep,Compass,Latitude,"29,153 miles","17,500"
0,2016 Dodge,Journey,SXT,"32,369 miles","17,900"
0,2016 Jeep,Cherokee,Latitude,"34,565 miles","16,800"
0,2016 Buick,Cascada,Premium,"12,575 miles","22,900"
0,2017 Jeep,Compass,Latitude,"21,788 miles","16,900"
0,2018 Ford,Focus,SE,"42,301 miles","13,200"
0,2016 Toyota,Camry,SE,"33,835 miles","17,100"
0,2019 Nissan,Frontier Crew Cab,SV 5 ft,"18,259 miles","25,400"
0,2014 Buick,Verano,Convenience,"19,097 miles","14,500"
0,2018 Toyota,Camry,LE,"41,862 miles","18,400"
0,2013 Acura,TSX,TSX,"41,096 miles","18,600"
0,2017 Ford,Escape,Titanium,"70,419 miles","17,800"
0,2017 Hyundai,Sonata,Sonata,"28,813 miles","14,900"
0,2018 Kia,Sportage,LX,"23,110 miles","17,100"
0,2018 Honda,Accord,Touring,"14,984 miles","29,100"
0,2015 Jeep,Cherokee,Limited,"36,819 miles","20,600"
0,2017 Ford,Focus,SE,"5,381 miles","15,900"
0,2016 Hyundai,Sonata,Sonata,"13,847 miles","16,600"
0,2016 Buick,Verano,Convenience Group,"41,527 miles","14,200"
0,2017 Nissan,Rogue,SL,"19,123 miles","23,100"
0,2016 Hyundai,Genesis,3.8,"26,416 miles","24,100"
0,2018 Toyota,RAV4,XLE,"24,751 miles","23,100"
0,2017 Hyundai,Tucson,SE,"18,226 miles","17,900"
0,2016 Toyota,Camry,SE,"28,826 miles","17,100"
0,2018 Hyundai,Sonata,Limited,"9,473 miles","22,200"
0,2017 Ford,Mustang,V6,"23,128 miles","21,600"
0,2018 Honda,CR-V,EX,"14,314 miles","27,700"
0,2018 Kia,Soul,Soul,"5,539 miles","17,200"
0,2015 Toyota,Prius v,Five,"41,051 miles","19,600"
0,2018 Kia,Forte,LX,"9,143 miles","14,900"
0,2017 Hyundai,Elantra,SE,"40,259 miles","13,600"
0,2017 Toyota,Corolla,LE,"24,009 miles","15,800"
0,2015 Subaru,WRX,WRX Limited,"40,840 miles","23,300"
0,2016 Honda,Accord,LX,"25,597 miles","18,300"
0,2016 Ford,Flex,SEL,"55,737 miles","21,700"
0,2018 Toyota,Sienna,LE,"41,420 miles","25,300"
0,2018 Ram,1500 Quad Cab,Express 6 1/3 ft,"20,806 miles","26,800"
0,2016 Audi,A6,2.0T Premium,"36,277 miles","24,800"
0,2017 Subaru,Outback,2.5i,"31,159 miles","22,400"
0,2017 Acura,RDX,RDX,"35,028 miles","26,100"
0,2016 Acura,TLX,2.4,"30,101 miles","21,100"
0,2018 Dodge,Grand Caravan Pas...,GT,"46,744 miles","20,500"
0,2018 Kia,Forte,LX,"30,564 miles","13,600"
0,2017 Subaru,Outback,3.6R Limited,"45,817 miles","28,400"
0,2018 Ford,Fiesta,S,"6,551 miles","13,800"
0,2018 Toyota,Camry,SE,"20,146 miles","21,200"
0,2013 Honda,CR-V,LX,"59,916 miles","16,100"
0,2016 Toyota,Corolla,L,"26,947 miles","16,000"
0,2017 Ford,Escape,SE,"49,097 miles","15,000"
0,2017 Hyundai,Tucson,Limited,"45,366 miles","19,800"
0,2016 Nissan,Rogue,SL,"16,361 miles","18,500"
0,2017 Jeep,Grand Cherokee,Laredo E,"16,299 miles","27,300"
0,2016 Chevrolet,Trax,LS,"23,552 miles","14,700"
0,2016 Audi,Q5,2.0T Premium,"21,817 miles","24,900"
0,2013 Mercedes-Ben...,E-Class,E 350,"49,627 miles","20,500"
0,2017 Toyota,Corolla,LE,"13,722 miles","17,400"
0,2018 Chevrolet,Impala,LT,"35,964 miles","18,900"
0,2014 Honda,CR-V,LX,"40,699 miles","17,600"
0,2017 Lincoln,MKC,Select,"64,559 miles","20,300"
0,2017 Hyundai,Veloster,Value Edition,"10,319 miles","17,400"
0,2016 Nissan,Altima,2.5 SV,"45,039 miles","16,500"
0,2011 Honda,CR-Z,EX,"18,837 miles","12,000"
0,2017 Jeep,Grand Cherokee,Limited,"47,936 miles","27,400"
0,2018 Honda,Accord,Sport,"20,887 miles","23,500"
0,2016 Kia,Soul,+,"60,970 miles","13,500"
0,2017 Nissan,Versa,SV,"5,950 miles","14,300"
0,2018 Toyota,Avalon,XLE,"35,388 miles","21,900"
0,2016 Toyota,Corolla,LE,"8,084 miles","16,000"
0,2018 Toyota,RAV4,XLE,"31,027 miles","22,400"
0,2016 Volkswagen,Jetta,1.8T Sport,"53,460 miles","15,300"
0,2015 Nissan,Pathfinder,Platinum,"33,400 miles","24,400"
0,2017 Chevrolet,Camaro,LT,"12,172 miles","29,500"
0,2015 Ford,Escape,S,"33,906 miles","15,200"
0,2016 Toyota,Camry,SE,"34,989 miles","16,800"
0,2014 Ford,Mustang,V6,"36,034 miles","17,100"
0,2016 Hyundai,Tucson,SE,"19,996 miles","18,200"
0,2017 Jeep,Cherokee,Limited,"29,850 miles","21,700"
0,2018 Toyota,Avalon,XLE,"33,262 miles","22,000"
0,2016 Hyundai,Sonata,Sport,"15,357 miles","16,300"
0,2016 Hyundai,Sonata,SE,"15,250 miles","15,000"
0,2013 Lexus,RX,RX 350,"19,405 miles","25,300"
0,2015 Honda,Odyssey,Touring,"76,114 miles","25,500"
0,2017 Ford,Fusion Energi,Plug-In Hybrid SE Luxury,"26,649 miles","18,000"
0,2016 Honda,Civic,LX,"12,465 miles","17,200"
0,2017 Ram,1500 Quad Cab,Express 6 1/3 ft,"31,099 miles","27,600"
0,2016 Toyota,Yaris,L Hatchback,"54,222 miles","12,600"
0,2018 Jeep,Renegade,Latitude,"1,413 miles","19,500"
0,2016 Hyundai,Sonata,Eco,"33,842 miles","14,800"
0,2018 Chevrolet,Malibu,LS,"17,533 miles","17,400"
0,2017 Jeep,Grand Cherokee,Limited 75th Anniversary ...,"60,956 miles","27,300"
0,2018 Dodge,Grand Caravan Pas...,SXT,"43,160 miles","18,700"
0,2016 Honda,Civic,LX,"34,693 miles","16,600"
0,2016 Acura,TLX,3.5,"35,154 miles","22,900"
0,2014 Volkswagen,Beetle,R-Line,"50,452 miles","15,200"
0,2018 Hyundai,Elantra,SEL,"29,414 miles","14,600"
0,2016 Nissan,Pathfinder,SL,"31,601 miles","27,800"
0,2017 Nissan,Sentra,SR,"21,267 miles","15,600"
0,2015 Hyundai,Sonata,Sport,"29,952 miles","15,000"
0,2016 Jeep,Grand Cherokee,Limited,"41,187 miles","26,200"
0,2014 Volkswagen,Passat,TDI SEL Premium,"69,922 miles","14,500"
0,2017 Hyundai,Elantra,SE,"8,233 miles","16,400"
0,2018 Hyundai,Tucson,SEL,"29,742 miles","18,600"
0,2018 Kia,Rio,LX,"14,041 miles","14,000"
0,2016 Ram,1500 Crew Cab,Tradesman 5 1/2 ft,"28,611 miles","24,400"
0,2016 Toyota,Camry,LE,"27,490 miles","16,700"
0,2017 Nissan,Sentra,SV,"40,006 miles","13,500"
0,2018 Dodge,Challenger,SXT,"18,595 miles","24,300"
0,2016 Ford,Escape,SE,"21,090 miles","17,100"
0,2016 Toyota,Camry,LE,"31,571 miles","15,700"
0,2016 Hyundai,Sonata,Sonata,"32,233 miles","15,300"
0,2018 Chevrolet,Malibu,LT,"14,418 miles","18,400"
0,2018 Honda,Accord,LX,"30,482 miles","20,300"
0,2016 Honda,Accord,EX-L,"33,317 miles","22,100"
0,2015 Chevrolet,Camaro,LS,"43,317 miles","18,900"
0,2016 Mazda,MX-5 Miata,Club,"4,078 miles","24,800"
0,2018 Nissan,Versa,S,"25,579 miles","13,000"
0,2017 Ford,Mustang,EcoBoost,"39,660 miles","21,300"
0,2015 Chevrolet,Malibu,LS,"23,992 miles","14,600"
0,2016 Nissan,Sentra,SV,"17,926 miles","14,300"
0,2017 Ford,Fusion Energi,Plug-In Hybrid Titanium,"57,742 miles","18,000"
0,2014 Ford,F150 SuperCrew Ca...,XL 5 1/2 ft,"65,724 miles","26,700"
0,2016 Buick,Encore,Encore,"45,760 miles","15,100"
0,2015 Mazda,CX-5,Grand Touring,"58,167 miles","19,600"
0,2018 Subaru,WRX,WRX,"38,602 miles","23,000"
0,2018 Kia,Rio,LX,"14,041 miles","14,000"
0,2016 Ram,1500 Crew Cab,Tradesman 5 1/2 ft,"28,611 miles","24,400"
0,2016 Toyota,Camry,LE,"27,490 miles","16,700"
0,2017 Nissan,Sentra,SV,"40,006 miles","13,500"
0,2018 Dodge,Challenger,SXT,"18,595 miles","24,300"
0,2016 Ford,Escape,SE,"21,090 miles","17,100"
0,2016 Toyota,Camry,LE,"31,571 miles","15,700"
