,Make,Model,trim,Mileage,Price
0,2014 Hyundai,Sonata,SE,"69,557 miles","13,800"
0,2016 Toyota,Camry,LE,"20,378 miles","18,500"
0,2015 Toyota,Highlander,XLE,"61,932 miles","25,700"
0,2015 Lexus,RX,RX 350,"48,258 miles","26,000"
0,2017 Honda,Accord,LX,"15,644 miles","19,400"
0,2012 Jeep,Wrangler,Unlimited Sport,"96,014 miles","24,700"
0,2017 Ford,Fusion,SE Hybrid,"50,580 miles","15,500"
0,2009 Lexus,RX,RX 350,"91,176 miles","14,900"
0,2016 Chevrolet,Equinox,LT,"52,040 miles","15,300"
0,2017 Dodge,Challenger,R/T,"48,399 miles","24,700"
0,2017 Mazda,MAZDA3,Sport,"9,172 miles","18,400"
0,2016 Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,"23,305 miles","28,500"
0,2016 Ram,1500 Crew Cab,Big Horn 5 1/2 ft,"33,545 miles","27,900"
0,2018 Ford,Mustang,EcoBoost,"12,872 miles","24,400"
0,2016 Hyundai,Elantra,SE,"40,396 miles","12,900"
0,2014 Kia,Optima,LX,"18,256 miles","13,900"
0,2016 Honda,Civic,EX-L,"34,986 miles","19,300"
0,2012 INFINITI,G,G37x,"25,912 miles","19,400"
0,2018 Ford,Fiesta,SE,"33,189 miles","13,200"
0,2013 Volkswagen,Jetta SportWagen,2.0L TDI Sport,"60,182 miles","13,000"
0,2013 Volkswagen,Jetta SportWagen,2.0L TDI Sport,"71,713 miles","12,400"
0,2017 Dodge,Durango,SXT,"32,245 miles","23,900"
0,2016 Mitsubishi,i-MiEV,ES,"16,957 miles","10,400"
0,2014 Nissan,JUKE,NISMO RS,"15,883 miles","17,900"
0,2011 Toyota,Tundra CrewMax,5 1/2 ft,"79,061 miles","28,600"
0,2012 Toyota,Tacoma Access Cab,6 ft,"82,242 miles","17,900"
0,2016 Hyundai,Sonata,Sonata,"25,820 miles","17,900"
0,2017 Kia,Sorento,SX,"45,376 miles","24,900"
0,2013 Cadillac,Escalade,Hybrid,"81,749 miles","26,100"
0,2018 Nissan,Versa,SV,"27,630 miles","13,200"
0,2016 Ford,Fusion,Titanium,"41,362 miles","17,000"
0,2016 Mazda,CX-5,Grand Touring,"24,258 miles","22,600"
0,2016 Hyundai,Genesis,3.8,"37,210 miles","22,400"
0,2015 Audi,Q5,2.0T Premium,"15,292 miles","25,500"
0,2015 Audi,A4,Premium,"46,583 miles","18,500"
0,2016 Audi,A3,1.8T Premium,"45,717 miles","19,300"
0,2017 Nissan,Versa,SV,"8,135 miles","14,800"
0,2016 Ford,Fusion Energi,Plug-In Hybrid Titanium,"21,407 miles","18,800"
0,2014 Lexus,RX,RX 350,"30,483 miles","26,500"
0,2016 Kia,Optima,EX,"15,278 miles","17,900"
0,2015 MINI,Hardtop 2 Door,Cooper,"33,339 miles","14,900"
0,2017 Ford,Escape,Titanium,"34,484 miles","20,600"
0,2016 Nissan,Sentra,SR,"39,551 miles","14,500"
0,2017 Chevrolet,Cruze,LT,"16,952 miles","15,900"
0,2015 Chevrolet,Volt,Volt,"46,800 miles","16,000"
0,2016 Honda,CR-V,EX,"85,752 miles","21,400"
0,2013 INFINITI,JX,JX35,"92,307 miles","19,300"
0,2016 Chevrolet,Spark EV,2LT,"19,921 miles","11,100"
0,2015 Hyundai,Genesis,3.8,"53,094 miles","21,800"
0,2015 Toyota,Camry,LE,"40,663 miles","16,300"
0,2016 Dodge,Challenger,SXT,"14,608 miles","23,800"
0,2014 Chevrolet,Silverado 1500 Cr...,LTZ 5 3/4 ft,"84,155 miles","29,400"
0,2014 Ford,Focus ST,Focus ST,"21,664 miles","19,900"
0,2012 Chrysler,200,Touring,"35,630 miles","10,700"
0,2013 Ford,Focus,SE,"76,653 miles","9,300"
0,2013 Ford,Fusion,SE Hybrid,"52,954 miles","13,200"
0,2012 Acura,TL,TL,"72,626 miles","17,000"
0,2016 Ram,1500 Crew Cab,Tradesman 5 1/2 ft,"70,270 miles","24,800"
0,2016 Subaru,Crosstrek,2.0i Limited,"75,160 miles","19,600"
0,2017 Toyota,Camry,LE,"26,134 miles","17,300"
0,2015 Scion,FR-S,FR-S,"33,582 miles","20,200"
0,2015 Hyundai,Accent,GLS,"21,970 miles","11,300"
0,2013 Chevrolet,Tahoe,LT,"77,382 miles","25,100"
0,2012 Volkswagen,Touareg,TDI Lux,"76,921 miles","18,600"
0,2018 Ford,Fiesta,SE,"37,209 miles","13,000"
0,2016 FIAT,500e,500e,"13,572 miles","11,900"
0,2017 Audi,A4,Premium Plus,"45,300 miles","26,900"
0,2014 Jeep,Cherokee,Latitude,"73,250 miles","15,700"
0,2017 Hyundai,Accent,SE,"59,677 miles","12,000"
0,2011 Dodge,Challenger,SRT8,"96,096 miles","23,000"
0,2010 Honda,Pilot,EX-L,"102,077 miles","14,300"
0,2018 Toyota,Camry,LE,"24,856 miles","20,100"
0,2016 Kia,Optima,LX,"41,325 miles","14,300"
0,2016 Jeep,Cherokee,Limited,"41,755 miles","22,600"
0,2013 Honda,Crosstour,EX-L,"98,486 miles","15,000"
0,2018 Nissan,Versa,SV,"32,268 miles","12,700"
0,2018 Chevrolet,Equinox,LT,"35,757 miles","21,500"
0,2018 Jeep,Renegade,Sport,"9,885 miles","19,300"
0,2018 Honda,Civic,LX,"14,927 miles","18,500"
0,2016 Honda,Pilot,EX-L,"69,486 miles","24,900"
0,2015 Jeep,Grand Cherokee,Limited,"36,129 miles","26,000"
0,2015 Audi,A4,Premium Plus,"39,401 miles","20,400"
0,2014 Chevrolet,Traverse,LT,"62,541 miles","18,400"
0,2016 Nissan,Altima,2.5 SL,"43,244 miles","16,500"
0,2016 Honda,Accord,EX,"55,973 miles","17,000"
