Make,Model,trim,Mileage,Price
2016 Honda,CR-V,LX,"19,134 miles","20,700"
2016 Honda,Civic,LX,"29,512 miles","15,600"
2016 GMC,Terrain,SLE-1,"39,704 miles","17,800"
2018 Ford,Mustang,GT,"10,931 miles","30,800"
2015 Chevrolet,Spark EV,2LT,"25,981 miles","10,000"
2016 Audi,A6,3.0T Premium Plus,"42,613 miles","29,900"
2018 Chevrolet,Malibu,Premier,"10,519 miles","23,900"
2016 Jeep,Grand Cherokee,Overland,"38,124 miles","30,400"
2018 Chevrolet,Impala,LT,"32,906 miles","18,900"
2017 Ford,Escape,SE,"20,596 miles","16,600"
2018 Mitsubishi,Outlander,ES,"20,206 miles","18,400"
2016 Buick,Encore,Leather,"33,245 miles","17,800"
2018 Ford,Focus,Titanium,"14,708 miles","17,200"
2018 Ford,Focus,Titanium,"27,923 miles","15,300"
2017 Cadillac,ATS,ATS,"17,683 miles","26,200"
2016 Hyundai,Elantra,SE,"22,596 miles","13,200"
2016 Chevrolet,Spark EV,2LT,"26,163 miles","10,800"
2017 Lexus,RX,RX 350,"41,265 miles","36,500"
2018 Chevrolet,Impala,LT,"44,995 miles","18,200"
2016 Nissan,Pathfinder,SV,"24,619 miles","19,900"
2017 Volkswagen,Tiguan,2.0T Sport,"43,917 miles","18,800"
2018 Nissan,Maxima,SV,"37,643 miles","22,400"
2018 Chevrolet,Malibu,LS,"18,229 miles","16,500"
2015 INFINITI,Q50,3.7,"38,218 miles","20,200"
2016 Toyota,Sienna,XLE,"55,236 miles","24,600"
2018 Mitsubishi,Outlander,SE,"40,739 miles","17,200"
2017 Honda,Civic,EX,"20,797 miles","19,200"
2018 Chevrolet,Impala,LT,"30,513 miles","18,000"
2016 Lexus,RX,RX 350,"35,544 miles","32,500"
2018 Audi,A4,Premium Plus,"23,275 miles","31,800"
2016 Toyota,Highlander,LE,"35,331 miles","25,900"
2018 Honda,Accord,Touring,"12,094 miles","31,500"
2018 Honda,Civic,LX,"30,844 miles","18,400"
2015 INFINITI,Q50,3.7,"31,683 miles","22,400"
2015 Toyota,Tacoma Double Cab,PreRunner 5 ft,"25,800 miles","27,300"
