Make,Model,trim,Mileage,Price
2018 Ram,2500 Crew Cab,Tradesman 6 1/3 ft,92 miles,"44,700"
2018 Hyundai,Tucson,SEL,"19,905 miles","17,900"
2017 Audi,A6,2.0T Premium Plus,"35,049 miles","30,900"
2018 Ford,Explorer,Limited,"30,524 miles","32,400"
2017 Land Rover,Range Rover Sport,SE,"25,471 miles","50,200"
2017 Jeep,Cherokee,Limited,"35,234 miles","21,700"
2016 Lexus,CT,CT 200h,"43,495 miles","19,900"
2014 Chevrolet,Impala,LT,"75,204 miles","14,600"
2018 Ford,Explorer,Limited,"41,171 miles","27,400"
2018 Jeep,Wrangler Unlimite...,Sport (JK),"17,928 miles","29,700"
2018 Cadillac,CT6,3.6 Platinum,"19,287 miles","52,400"
2016 Dodge,Grand Caravan Pas...,R/T,"60,070 miles","16,500"
2016 Honda,Pilot,Elite,"68,523 miles","28,900"
2018 GMC,Sierra 1500 Crew ...,SLE 5 3/4 ft,"12,041 miles","35,400"
2016 Hyundai,Veloster,Veloster,"50,261 miles","13,400"
2017 Nissan,Maxima,SV,"30,473 miles","19,800"
2018 Ford,Mustang,EcoBoost,"9,975 miles","24,900"
2016 Chevrolet,Traverse,LS,"44,056 miles","18,800"
2017 Hyundai,Elantra,Limited,"31,526 miles","15,300"
2018 Ram,2500 Crew Cab,Tradesman 6 1/3 ft,104 miles,"44,700"
2018 Nissan,Pathfinder,SV,"43,447 miles","19,900"
2015 Toyota,Prius Plug-in Hyb...,Prius Plug-in Hybrid,"57,704 miles","17,700"
2016 Subaru,Forester,2.5i Premium,"40,718 miles","19,600"
2017 Volkswagen,Golf Alltrack,TSI S,"17,034 miles","20,100"
2017 Ford,Escape,SE,"29,554 miles","16,500"
2018 Subaru,Crosstrek,2.0i Premium,"5,678 miles","24,400"
2017 Audi,Q5,2.0T Premium Plus,"44,532 miles","28,300"
2018 Ford,Fusion,Titanium Hybrid,"29,749 miles","18,800"
2017 Buick,Encore,Premium,"20,078 miles","20,200"
2016 Toyota,RAV4,XLE,"39,442 miles","18,100"
2017 Chevrolet,Cruze,LT,"16,255 miles","14,600"
2018 Toyota,Camry,LE,"32,602 miles","18,000"
2018 Toyota,Camry,LE,"6,696 miles","22,200"
2017 Chevrolet,Cruze,LT,"11,010 miles","15,500"
2016 Audi,Q5,2.0T Premium,"44,277 miles","24,400"
2017 Chevrolet,Camaro,SS,"10,381 miles","38,400"
2018 Ram,2500 Crew Cab,Tradesman 6 1/3 ft,84 miles,"44,700"
2017 Subaru,Outback,2.5i Limited,"7,998 miles","29,100"
2016 Nissan,Altima,2.5 SV,"30,000 miles","14,900"
2017 Hyundai,Elantra,Limited,"23,590 miles","15,700"
2018 Kia,Stinger,GT2,"8,243 miles","41,300"
2016 Lexus,IS,IS 200t,"31,319 miles","22,600"
2018 Chevrolet,Impala,LT,"33,661 miles","18,000"
2017 Land Rover,Range Rover Sport,HSE,"11,306 miles","54,000"
2017 Kia,Sorento,LX,"18,746 miles","18,100"
2017 Hyundai,Accent,SE,"40,151 miles","12,100"
2018 Ford,Mustang,EcoBoost,"29,774 miles","22,600"
2014 GMC,Acadia,Denali,"74,020 miles","21,600"
2018 Genesis,G80,3.3T Sport,"12,830 miles","42,300"
2018 Dodge,Journey,SXT,"13,584 miles","18,200"
2018 Ford,Mustang,EcoBoost,"30,342 miles","21,200"
2015 Toyota,Sienna,Limited,"39,742 miles","25,200"
2018 Audi,A4,Premium Plus,"24,749 miles","29,800"
2018 Audi,A4,Premium Plus,"20,698 miles","29,800"
2018 Chevrolet,Camaro,ZL1,"7,223 miles","58,900"
2018 Audi,A4,Premium Plus,"23,697 miles","30,700"
2017 Nissan,Pathfinder,SV,"43,473 miles","19,700"
2016 Jeep,Grand Cherokee,Limited,"54,915 miles","23,900"
2017 Volkswagen,Golf GTI,SE Hatchback,"20,070 miles","22,500"
2018 Chevrolet,Impala,LT,"40,608 miles","18,600"
2016 Lexus,ES,ES 350,"36,771 miles","23,500"
2018 Chrysler,Pacifica,Touring L,"37,299 miles","23,300"
2015 Chevrolet,Impala,LTZ,"79,145 miles","16,600"
2017 Honda,Accord,EX-L,"11,425 miles","22,900"
2015 BMW,3 Series,328d xDrive,"37,290 miles","21,900"
2016 BMW,5 Series,535i xDrive,"35,007 miles","29,200"
2017 Volkswagen,CC,2.0T Sport,"14,084 miles","19,600"
2015 Chevrolet,Spark EV,2LT,"42,416 miles","10,500"
2015 Nissan,LEAF,SV,"58,191 miles","11,200"
2017 Hyundai,Elantra,SE,"14,358 miles","14,300"
2017 Chevrolet,Sonic,LT,"11,430 miles","14,100"
2016 Nissan,Pathfinder,SV,"23,574 miles","20,900"
2018 Chevrolet,Camaro,LT,403 miles,"24,600"
2018 Ram,2500 Crew Cab,SLT 6 1/3 ft,"11,238 miles","36,200"
2018 Honda,Civic,EX,"11,187 miles","22,900"
2013 Ford,Escape,SE,"59,918 miles","12,700"
2017 Audi,Q5,2.0T Premium,"35,733 miles","25,600"
2017 Volvo,V60,T5 Premier,"36,547 miles","32,900"
2018 Chevrolet,Impala,LT,"39,923 miles","18,100"
2018 Chevrolet,Impala,LT,"34,885 miles","18,000"
2018 Chevrolet,Impala,LT,"34,996 miles","18,600"
2018 Jeep,Compass,Latitude,"3,257 miles","21,700"
2017 Chevrolet,Camaro,LT,"10,489 miles","24,500"
2016 Land Rover,Discovery Sport,HSE LUX,"21,541 miles","31,200"
2018 Honda,Accord,EX-L,"5,257 miles","27,200"
2016 Ford,Mustang,GT,"14,013 miles","31,200"
2016 Nissan,Rogue,S,"31,465 miles","15,500"
2018 Hyundai,Tucson,SEL,"20,422 miles","17,900"
2018 Honda,Pilot,EX-L w/Navigation,"5,081 miles","38,500"
2017 Genesis,G80,3.8,"13,069 miles","29,300"
2016 Jeep,Grand Cherokee,Laredo,"58,776 miles","20,700"
2016 Mercedes-Ben...,CLA,CLA 250,"29,769 miles","21,900"
2016 Jeep,Compass,Latitude,"38,027 miles","16,000"
2016 Toyota,Highlander,LE,"37,995 miles","26,400"
2018 Honda,Pilot,Touring,"4,080 miles","40,800"
2018 Honda,Fit,LX,"3,264 miles","17,600"
2018 BMW,5 Series,530i xDrive,"15,509 miles","44,300"
2018 Dodge,Grand Caravan Pas...,GT,"40,017 miles","18,500"
2016 MINI,Hardtop 4 Door,Cooper S,"35,136 miles","18,700"
2016 Jaguar,XJ,XJ R-Sport,"14,657 miles","37,100"
2018 Cadillac,XT5,Luxury,"22,366 miles","33,000"
2016 Chrysler,300,300C,"35,708 miles","20,200"
2016 Mercedes-Ben...,GLA,GLA 250 4MATIC,"25,545 miles","24,100"
2016 Nissan,Sentra,SV,"25,159 miles","13,400"
2018 Chevrolet,Cruze,LS,"3,558 miles","15,600"
2015 INFINITI,Q50,3.7 Premium,"39,140 miles","20,000"
2017 Buick,Enclave,Premium,"29,459 miles","30,900"
2016 Lexus,IS,IS 200t,"29,983 miles","22,500"
2018 Dodge,Grand Caravan Pas...,GT,"40,864 miles","17,900"
2017 GMC,Acadia,SLE-2,"50,812 miles","24,600"
2018 Ford,Expedition,Limited,"23,663 miles","49,600"
2017 Buick,Encore,Sport Touring,"8,117 miles","18,500"
2016 Toyota,Prius,Two,"24,403 miles","19,500"
2018 Audi,A4,Premium Plus,"20,958 miles","31,600"
2018 Ford,Explorer,XLT,"11,301 miles","28,500"
2018 Ram,2500 Crew Cab,Tradesman 6 1/3 ft,495 miles,"44,500"
2016 Volvo,XC70,T5 Premier,"42,562 miles","27,400"
2017 Dodge,Journey,GT,"19,012 miles","19,700"
2016 Nissan,Murano,SL,"29,040 miles","22,900"
2018 Toyota,Sienna,XLE,"39,195 miles","26,900"
2018 Audi,A4,Premium Plus,"20,938 miles","29,000"
2018 Chevrolet,Malibu,LS,"15,885 miles","16,800"
2016 Volkswagen,Golf,TSI S Hatchback,"19,412 miles","15,100"
2018 Chevrolet,Colorado Crew Cab,ZR2 5 ft,"4,022 miles","39,800"
2016 Chevrolet,Silverado 1500 Do...,LTZ 6 1/2 ft,"24,052 miles","30,800"
2018 Ford,Focus,Electric,"8,271 miles","23,100"
2017 Volkswagen,Tiguan Limited,2.0T 4Motion,"12,732 miles","18,500"
2016 Toyota,Prius,Two,"75,159 miles","17,400"
2018 Chevrolet,Malibu,LS,"11,978 miles","17,000"
2016 Nissan,Sentra,SR,"26,320 miles","13,900"
2011 Volkswagen,Golf,TDI,"28,744 miles","14,200"
2016 Kia,Optima,LX,"38,726 miles","14,200"
2018 Audi,A4,Premium Plus,"22,778 miles","31,600"
2016 Chevrolet,Malibu Limited,LT,"47,311 miles","14,100"
2018 Cadillac,CT6,3.6 Luxury,"20,458 miles","45,200"
2016 Nissan,Altima,2.5 S,"21,800 miles","14,700"
2018 Nissan,Versa Note,S,848 miles,"14,800"
2014 Hyundai,Santa Fe Sport,Santa Fe Sport,"43,523 miles","15,500"
2017 Mercedes-Ben...,E-Class,E 300 4MATIC,"27,831 miles","35,600"
2016 Mazda,MX-5 Miata,Club,"13,878 miles","22,600"
2015 INFINITI,Q50,3.7 Premium,"33,650 miles","20,100"
2018 Honda,Civic,LX,"12,909 miles","17,900"
2015 Chrysler,200,200C,"41,124 miles","14,800"
2018 Nissan,Pathfinder,SV,"17,613 miles","23,700"
2015 Nissan,Sentra,SR,"25,822 miles","13,100"
2018 Honda,Accord,LX,"12,592 miles","21,100"
2016 Toyota,Camry,SE,"30,507 miles","16,800"
2018 Toyota,Sienna,XLE,"37,841 miles","27,400"
2018 Ford,Mustang,GT Premium,"30,091 miles","29,100"
2016 Acura,MDX,MDX,"40,042 miles","25,300"
2018 Hyundai,Accent,SE,"19,409 miles","13,700"
2018 Ford,Mustang,EcoBoost,"32,415 miles","20,500"
2017 Mercedes-Ben...,E-Class,E 300 4MATIC,"32,116 miles","35,500"
2016 Chevrolet,Equinox,LT,"28,620 miles","17,400"
2018 Jeep,Wrangler Unlimite...,All New Sport,"7,329 miles","34,600"
2018 Toyota,Sienna,XLE,"38,786 miles","28,500"
2018 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"15,383 miles","35,100"
2016 Buick,Encore,Encore,"12,008 miles","16,300"
2018 Genesis,G80,3.8,"24,436 miles","31,000"
2017 Nissan,Altima,2.5 SL,"41,460 miles","16,000"
2018 Ford,Flex,Limited,"27,629 miles","25,100"
2016 Chevrolet,Impala,LT,"27,255 miles","18,100"
2018 Subaru,Crosstrek,2.0i Limited,"8,388 miles","29,300"
2015 Audi,A4,Premium,"40,850 miles","18,000"
2018 Jeep,Compass,Latitude,"7,665 miles","20,800"
2017 Subaru,Outback,2.5i Premium,"67,523 miles","18,500"
2018 Chevrolet,Sonic,LT,"3,373 miles","15,100"
2018 Honda,Accord,EX-L,"4,993 miles","26,100"
2018 Ford,Expedition,Limited,"41,563 miles","47,900"
2017 Subaru,Outback,2.5i,"27,800 miles","24,900"
2017 Honda,Accord,Sport w/Honda Sensing,"23,596 miles","19,500"
2016 INFINITI,QX60,3.5,"46,058 miles","24,700"
2018 Toyota,Highlander,LE,"21,789 miles","28,100"
2013 Audi,A5,2.0T Premium Plus,"56,331 miles","20,700"
2015 Jeep,Cherokee,Limited,"72,327 miles","17,500"
2016 Hyundai,Sonata,Sport,"26,325 miles","15,800"
2018 Mitsubishi,Outlander,SE,"20,388 miles","18,800"
2017 Volkswagen,Golf GTI,Sport Hatchback,"8,566 miles","25,000"
2018 Dodge,Grand Caravan Pas...,GT,"38,053 miles","18,200"
2016 BMW,5 Series,528i,"17,050 miles","26,200"
2016 Subaru,Outback,2.5i Premium,"30,274 miles","22,000"
2016 Lincoln,MKZ,MKZ,"42,623 miles","18,400"
2016 Volkswagen,Jetta,1.8T SEL,"43,117 miles","14,800"
2015 Mercedes-Ben...,E-Class,E 350,"32,361 miles","23,900"
2014 Honda,Accord,EX-L,"65,799 miles","15,900"
2018 Kia,Optima,LX,"28,286 miles","15,400"
2018 Honda,Civic,LX,"22,780 miles","17,200"
2016 Hyundai,Tucson,SE,"21,183 miles","15,900"
2015 Buick,Regal,Premium II,"21,428 miles","17,600"
2016 Jeep,Compass,Sport,"12,074 miles","16,400"
2016 Lexus,RX,RX 350,"21,887 miles","32,000"
2017 Ford,F150 SuperCrew Ca...,XL 6 1/2 ft,"17,616 miles","37,100"
2018 Hyundai,Tucson,SEL,"20,606 miles","18,700"
2016 Subaru,Outback,2.5i Premium,"33,009 miles","21,500"
2017 Mazda,CX-5,Grand Touring,"11,987 miles","26,500"
2018 Audi,A4,Premium Plus,"20,579 miles","31,200"
2017 Hyundai,Accent,SE,"33,864 miles","12,400"
2018 Ford,Escape,S,"21,141 miles","16,300"
2017 Nissan,Sentra,SR,"15,580 miles","14,600"
2015 Jeep,Cherokee,Limited,"78,066 miles","15,800"
2018 Kia,Soul,Soul,"15,204 miles","14,900"
2017 Audi,A4,Premium,"21,176 miles","24,500"
2016 Subaru,Outback,2.5i Premium,"40,068 miles","19,800"
2018 Nissan,Altima,2.5 SL,"26,519 miles","17,500"
2018 Hyundai,Elantra GT,Elantra GT,"18,442 miles","15,200"
2018 Ford,Focus,SE,"9,416 miles","15,300"
2016 Chevrolet,Camaro,SS,"32,201 miles","31,700"
2018 Kia,Optima,LX,"35,233 miles","15,000"
2016 Lexus,RX,RX 350,"39,497 miles","33,200"
2018 Kia,Soul,!,"7,652 miles","19,300"
2017 Buick,Regal,Sport Touring,"41,464 miles","15,800"
2016 Subaru,Outback,2.5i,"34,581 miles","20,000"
2018 Toyota,Sienna,XLE,"37,011 miles","29,000"
2016 BMW,4 Series,428i,"7,932 miles","33,100"
2014 Chevrolet,Camaro,SS,"33,923 miles","26,600"
2016 GMC,Sierra 1500 Crew ...,Denali 5 3/4 ft,"21,930 miles","43,000"
2016 Kia,Optima,EX,"48,260 miles","15,500"
2018 Jaguar,XE,XE 25t Premium,"15,104 miles","29,000"
2013 Volkswagen,Jetta SportWagen,2.0L TDI Sport,"12,616 miles","14,800"
2016 Jeep,Patriot,High Altitude Edition,"32,765 miles","16,500"
2017 Jeep,Compass,Latitude,"19,840 miles","18,000"
2017 Hyundai,Sonata Hybrid,Limited,"15,245 miles","22,800"
2016 Jeep,Cherokee,Limited,"47,492 miles","21,100"
2018 Dodge,Grand Caravan Pas...,GT,"41,914 miles","19,400"
2017 Kia,Optima,LX,"25,340 miles","15,300"
2018 Chrysler,Pacifica,Touring L,"42,048 miles","24,000"
2017 Kia,Soul,Soul,"13,891 miles","14,600"
2017 FIAT,124 Spider,Classica,"17,393 miles","21,500"
2017 Nissan,Maxima,S,"33,993 miles","19,100"
2016 Kia,Optima,LX,"8,862 miles","15,800"
2016 BMW,5 Series,528i,"28,609 miles","24,300"
2015 Hyundai,Santa Fe Sport,2.0T,"29,627 miles","18,800"
2014 Volkswagen,Jetta,2.0L TDI Value Edition,"55,219 miles","12,500"
2016 Jeep,Cherokee,Latitude,"21,745 miles","18,000"
2016 Kia,Sedona,LX,"60,653 miles","17,300"
2018 MINI,Hardtop 2 Door,Cooper,"12,289 miles","18,700"
2015 Chrysler,200,200S,"43,575 miles","13,800"
2016 Nissan,Pathfinder,SL,"37,471 miles","22,900"
2017 Nissan,Pathfinder,Platinum,"46,509 miles","27,100"
2017 INFINITI,QX70,3.7,"29,460 miles","26,800"
2018 Toyota,Avalon,Touring,"22,309 miles","25,400"
2016 Nissan,Rogue,SV,"36,159 miles","16,500"
2017 Buick,LaCrosse,Essence,"17,430 miles","22,200"
2013 INFINITI,JX,JX35,"64,842 miles","20,800"
2015 Honda,Accord,Sport,"18,582 miles","17,500"
2017 FIAT,500X,Pop,"5,779 miles","16,000"
2018 Chevrolet,Suburban,Premier,"39,250 miles","44,800"
2016 BMW,X5,xDrive35d,"43,965 miles","35,300"
2015 Nissan,Sentra,SR,"12,097 miles","14,000"
2018 Jeep,Renegade,Latitude,"9,862 miles","18,700"
2016 Lexus,CT,CT 200h,"51,768 miles","19,500"
2019 Nissan,Sentra,SV,"6,169 miles","16,000"
2016 Kia,Cadenza,Cadenza,"13,615 miles","18,500"
2016 Subaru,WRX,WRX STI,"80,055 miles","24,000"
2016 Lexus,RX,RX 350,"27,458 miles","31,400"
2017 GMC,Acadia,SLE-1,"21,626 miles","22,900"
2014 Volkswagen,Golf,TDI Hatchback,"29,909 miles","14,400"
2017 Chevrolet,Malibu,LS,"30,270 miles","15,900"
2016 Hyundai,Santa Fe Sport,Santa Fe Sport,"41,134 miles","15,800"
2017 Jeep,Cherokee,Sport,"24,110 miles","17,300"
2018 Subaru,Outback,2.5i Limited,"13,527 miles","29,000"
2017 Buick,Encore,Sport Touring,"19,442 miles","16,900"
2016 Buick,Verano,Leather Group,"29,578 miles","15,700"
2015 INFINITI,Q50,3.7 Premium,"38,954 miles","21,400"
2018 Chevrolet,Camaro,LT,"27,998 miles","24,700"
2018 Jeep,Compass,Sport,"10,549 miles","19,500"
2017 Chevrolet,Bolt EV,Premier,"14,649 miles","27,600"
2018 BMW,X5,xDrive35d,"20,442 miles","45,500"
2016 Chevrolet,Silverado 1500 Cr...,LTZ 5 3/4 ft,"34,684 miles","32,100"
2016 Subaru,Legacy,3.6R Limited,"36,960 miles","19,700"
2018 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"16,817 miles","34,800"
2017 Buick,Verano,Leather Group,"48,196 miles","14,900"
2015 INFINITI,Q50,3.7 Premium,"38,497 miles","20,400"
2018 Dodge,Grand Caravan Pas...,GT,"44,121 miles","19,200"
2017 Hyundai,Elantra,Limited,"42,000 miles","15,400"
2016 Jaguar,F-TYPE,S,"12,794 miles","51,900"
2016 Lexus,RX,RX 350,"43,324 miles","30,900"
2017 Dodge,Grand Caravan Pas...,GT,"44,583 miles","17,200"
2015 Toyota,Tacoma Double Cab,5 ft,"40,785 miles","27,300"
2016 Chevrolet,Spark EV,1LT,"25,052 miles","10,800"
2018 Ford,Escape,S,"4,410 miles","18,800"
2018 Mitsubishi,Outlander Sport,SEL,"40,956 miles","16,600"
2016 Jeep,Patriot,Sport,"22,264 miles","16,200"
2017 Honda,Accord,Sport,"32,317 miles","18,000"
2016 BMW,2 Series,228i,"23,703 miles","21,800"
2016 Nissan,Altima,2.5 SL,"41,229 miles","16,300"
2018 Dodge,Challenger,SXT,"17,041 miles","22,600"
2018 Chevrolet,Cruze,LT,"11,264 miles","14,800"
2015 Cadillac,ATS,2.5L Standard,"37,578 miles","17,200"
2016 Honda,CR-V,EX,"45,572 miles","18,700"
2016 Audi,A8,L 3.0T,"38,214 miles","37,700"
2018 Ford,Fiesta,SE,"4,383 miles","13,700"
2017 Jeep,Renegade,Latitude,"36,870 miles","17,100"
2015 Cadillac,Escalade ESV,Platinum,"39,613 miles","46,600"
2016 Honda,Civic,EX,"41,961 miles","16,300"
2017 Honda,Civic,Si,"6,839 miles","23,000"
2018 Nissan,Sentra,SV,"15,752 miles","14,600"
2018 Toyota,Corolla,LE,"17,298 miles","15,800"
2015 Lexus,IS,IS 250,"42,802 miles","23,000"
2017 Chevrolet,Volt,LT,"41,299 miles","16,700"
2017 BMW,7 Series,750i,"15,612 miles","53,600"
2017 Hyundai,Elantra,SE,"28,944 miles","13,900"
2016 Audi,A8,L 3.0T,"40,416 miles","35,900"
2015 INFINITI,QX60,3.5,"66,327 miles","21,900"
2017 Nissan,Maxima,S,"35,084 miles","18,900"
2016 Ford,Flex,SEL,"40,078 miles","20,500"
2017 Audi,A4,Premium Plus,"34,412 miles","27,700"
2017 Honda,Civic,LX,"23,553 miles","16,100"
2018 Cadillac,CT6,3.6 Luxury,"2,045 miles","47,400"
2018 Honda,Civic,LX,"34,181 miles","16,300"
2012 Toyota,Camry,XLE,"49,504 miles","14,600"
2016 Jeep,Cherokee,Latitude,"30,680 miles","18,100"
2017 Ford,Fusion,SE,"24,325 miles","15,100"
2016 Jeep,Cherokee,Latitude,"44,466 miles","16,100"
2016 Kia,Optima,LX,"18,285 miles","15,300"
2016 Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,"19,031 miles","29,700"
2014 Audi,A6,TDI Premium Plus,"32,927 miles","25,200"
2015 Honda,CR-V,EX,"34,698 miles","18,800"
2018 INFINITI,Q50,3.0t LUXE,"30,439 miles","24,700"
2017 Toyota,Sienna,SE,"18,918 miles","29,000"
2015 Acura,RDX,RDX,"59,539 miles","19,200"
2017 INFINITI,Q60,3.0t Premium,"14,804 miles","32,000"
2016 Volkswagen,Tiguan,2.0T SE 4Motion,"18,434 miles","18,600"
2015 BMW,4 Series,435i,"43,864 miles","24,700"
2017 Hyundai,Accent,SE,"38,399 miles","11,700"
2018 BMW,3 Series,320i,"5,870 miles","31,900"
2018 Nissan,LEAF,SV,"5,161 miles","23,000"
2016 Chevrolet,Spark EV,2LT,"19,434 miles","12,000"
2018 Audi,Q5,Premium,"13,323 miles","36,300"
2014 Toyota,Tundra CrewMax,SR5 5 1/2 ft,"57,480 miles","27,500"
2018 Nissan,Pathfinder,SV,"25,079 miles","22,900"
2017 Hyundai,Accent,SE,"35,895 miles","11,900"
2018 Chevrolet,Malibu,LS,"13,251 miles","16,900"
2017 Dodge,Journey,GT,"19,340 miles","18,700"
2017 Ford,Taurus,Limited,"35,437 miles","17,000"
2016 Ford,Mustang,EcoBoost,"40,134 miles","19,100"
2018 Hyundai,Accent,SE,"11,127 miles","14,300"
2016 Toyota,Corolla,LE,"9,993 miles","14,700"
2015 Toyota,Camry,LE,"55,838 miles","14,200"
2014 Volkswagen,Beetle,TDI,"25,740 miles","17,500"
2018 Hyundai,Sonata,Limited 2.0T,"4,333 miles","26,100"
2018 Hyundai,Elantra,SE,"15,174 miles","14,900"
2017 Nissan,Altima,2.5 S,"41,494 miles","14,600"
2016 Ford,Edge,SE,"40,810 miles","20,700"
2018 Mitsubishi,Outlander,ES,"11,444 miles","18,300"
2015 Lincoln,MKC,MKC,"40,480 miles","18,300"
2016 Toyota,Prius,Two Eco,"34,301 miles","19,500"
2018 Toyota,Corolla,LE,"12,898 miles","15,700"
2016 Nissan,Altima,2.5 SL,"50,889 miles","15,700"
2016 Chevrolet,Impala,LT,"35,723 miles","16,700"
2017 INFINITI,Q50,3.0t Premium,"37,739 miles","21,800"
2016 Mitsubishi,Outlander Sport,ES,"19,802 miles","16,000"
2017 Chevrolet,Camaro,SS,"5,307 miles","38,300"
2018 Ford,Mustang,EcoBoost Premium,"43,406 miles","20,500"
2018 Ford,Expedition,XLT,"2,162 miles","45,600"
2018 Ford,Mustang,EcoBoost,"34,902 miles","21,100"
2018 Ford,Mustang,EcoBoost,"34,326 miles","20,700"
2017 Ford,Fusion,Titanium,"36,982 miles","17,600"
2017 GMC,Terrain,SLE-1,"22,207 miles","18,100"
2018 INFINITI,Q70,3.7 Luxe,"26,827 miles","25,800"
2016 Mazda,CX-5,Touring,"34,355 miles","18,500"
2015 Volkswagen,Touareg,V6 Sport,"57,453 miles","20,900"
2018 Honda,Accord,LX,"15,672 miles","20,700"
2018 Honda,CR-V,Touring,"5,836 miles","29,800"
2018 Jeep,Renegade,Latitude,"17,302 miles","16,900"
2014 Audi,A4,Premium Plus,"62,376 miles","17,800"
2018 Honda,Accord,EX-L,"13,736 miles","25,400"
2018 Honda,Civic,LX w/Honda Sensing,"14,256 miles","19,700"
2016 BMW,Z4,sDrive35i,"19,843 miles","38,000"
2016 Jaguar,XF,XF 3.5t Prestige,"45,996 miles","26,200"
2015 INFINITI,Q50,3.7,"31,789 miles","19,500"
2017 Buick,Regal,Sport Touring,"23,958 miles","17,000"
2018 Chevrolet,Equinox,Premier,"20,954 miles","24,300"
2018 Nissan,Altima,2.5 SR,"21,124 miles","17,500"
2018 Mitsubishi,Outlander,LE,"12,334 miles","20,200"
2019 Kia,Sorento,LX,"22,522 miles","21,700"
2017 Hyundai,Accent,SE,"30,012 miles","11,900"
2016 Audi,A6,2.0T Premium Plus,"24,413 miles","25,200"
2016 Jeep,Cherokee,Limited,"31,310 miles","19,300"
2016 Honda,CR-V,LX,"47,817 miles","17,800"
2016 Honda,CR-V,EX,"29,708 miles","19,300"
2017 Dodge,Grand Caravan Pas...,SE,"21,294 miles","17,300"
2018 Jeep,Renegade,Latitude,"4,452 miles","20,700"
2018 Audi,A4,Premium Plus,"21,084 miles","30,700"
2017 Chevrolet,Volt,Premier,"14,252 miles","23,600"
2016 BMW,Z4,sDrive35is,"33,829 miles","36,100"
2016 Jeep,Grand Cherokee,Limited,"32,832 miles","26,900"
2017 Acura,RDX,RDX,"60,873 miles","25,500"
2016 Toyota,Highlander,XLE,"31,675 miles","30,300"
2016 Nissan,Pathfinder,SL,"33,157 miles","24,100"
2016 Honda,HR-V,EX,"11,432 miles","20,700"
2015 INFINITI,Q50,3.7 Premium,"32,976 miles","19,700"
2016 Jeep,Grand Cherokee,Overland,"38,234 miles","30,100"
2018 Nissan,Maxima,SV,"38,343 miles","21,300"
2018 Ford,Fusion,SE Hybrid,"35,405 miles","15,600"
2018 Chevrolet,Silverado 1500 Cr...,Custom 5 3/4 ft,"16,563 miles","32,500"
2018 Ford,Expedition,Limited,"33,936 miles","44,800"
2017 Ford,Mustang,V6,"41,925 miles","19,000"
2018 Nissan,Pathfinder,SV,"42,750 miles","19,400"
2016 Lexus,NX,200t,"28,043 miles","26,700"
2018 Dodge,Durango,GT,"39,222 miles","25,800"
2018 Honda,Fit,LX,"32,581 miles","15,100"
2017 Lexus,RX,RX 350,"16,467 miles","39,800"
2016 Mercedes-Ben...,GL-Class,GL 450 4MATIC,"34,796 miles","39,000"
2018 Dodge,Durango,GT,"35,255 miles","28,200"
2016 Nissan,Maxima,S,"26,688 miles","19,600"
2016 Toyota,Highlander,LE,"31,110 miles","27,000"
2018 Nissan,Altima,2.5 SL,"37,779 miles","15,900"
2018 Toyota,Corolla,LE,"15,598 miles","15,400"
2018 Nissan,Maxima,SV,"38,931 miles","19,500"
2015 Ford,Focus,SE,"80,834 miles","9,800"
2018 Kia,Forte,LX,"15,137 miles","14,800"
2016 BMW,3 Series,328d xDrive,"25,027 miles","26,400"
2018 Nissan,Versa,SV,"35,339 miles","12,100"
2014 Honda,CR-V,LX,"43,734 miles","16,400"
2017 Ford,Escape,SE,"12,254 miles","18,100"
2018 Nissan,Altima,2.5 SL,"44,816 miles","15,600"
2016 Cadillac,SRX,Luxury Collection,"30,999 miles","24,300"
2017 Honda,Accord,Sport SE,"25,910 miles","20,500"
2018 Hyundai,Elantra,SEL,"26,345 miles","14,600"
2017 Dodge,Durango,SXT,"66,763 miles","22,400"
2018 Ram,1500 Quad Cab,Express 6 1/3 ft,"5,459 miles","29,900"
2017 Ford,Edge,SEL,"41,859 miles","18,500"
2016 Land Rover,Discovery Sport,HSE,"26,202 miles","28,200"
2015 Nissan,Altima,2.5 S,"7,550 miles","15,000"
2016 Volkswagen,Jetta,1.4T S,"5,715 miles","13,700"
2018 Nissan,Altima,2.5 SL,"36,550 miles","16,200"
2017 Ford,Taurus,SEL,"16,245 miles","18,700"
2018 Buick,Encore,Preferred,"6,574 miles","20,100"
2017 Mitsubishi,Outlander,SEL,"14,264 miles","18,400"
2018 Hyundai,Sonata,SE,"1,669 miles","18,300"
2016 Audi,Q5,2.0T Premium,"25,280 miles","25,700"
2018 Dodge,Grand Caravan Pas...,GT,"38,422 miles","19,100"
2017 Chrysler,200,LX,"27,146 miles","15,600"
2014 Acura,ILX,2.0L,"69,152 miles","14,100"
2017 Lexus,GS,GS 200t,"26,513 miles","34,200"
2016 BMW,3 Series,340i,"22,185 miles","27,800"
2016 Nissan,Sentra,SV,"30,058 miles","13,300"
2018 Buick,Regal Sportback,Preferred,"11,117 miles","19,400"
2016 Nissan,Altima,2.5 SV,"15,850 miles","16,900"
2016 BMW,7 Series,750i,"44,348 miles","43,600"
2016 GMC,Terrain,SLE-1,"35,293 miles","18,500"
